0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,inf,inf,inf,inf,inf,inf,inf,927.6298680795993,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,930.287528520808,inf,inf,inf,inf,inf,inf,952.5857698906705,inf,inf,inf,inf,inf,inf,inf,inf,1039.1131033425042,inf,inf,inf,inf,inf,inf,inf,1005.485664866772,inf,inf
inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,862.782774410562,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,0.0,inf,inf,917.9538218884675,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1062.8071623935887,inf,inf,inf,1060.5703790196044,inf,inf,inf,inf,inf,1103.6909651642509,inf,inf,inf,inf,883.782247302642,inf,inf,inf,inf,925.6406283945521,inf,1047.8043737132436,inf,inf,inf,inf,998.1500189096967,inf
inf,inf,inf,0.0,inf,inf,856.5265617342673,inf,inf,inf,inf,834.9401710385293,inf,697.6379964754278,993.1435943415272,inf,inf,765.5361104334113,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1263.5985119935328,inf,inf,inf,inf,inf,inf,inf,inf,inf,908.4299247474637,inf,961.463490041157,inf,917.4414204638173,inf,inf,inf,inf
inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1052.1321149181335,inf,inf,inf,955.6701095016808,inf,inf,inf,inf,1085.3181271070976,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,780.8127358088275
inf,inf,917.9538218884675,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,820.7336743508251,inf,1186.6700769677814,inf,inf,inf,771.9069931037637,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1156.5249771698589,inf,928.1612624709747,inf,inf,inf,inf,1129.9826937275377,inf,inf,inf,inf,inf,1221.5974174975563,inf,inf
inf,inf,inf,856.5265617342673,inf,inf,0.0,inf,806.7144324497115,inf,inf,inf,inf,845.3299022822298,inf,938.2470691857931,inf,inf,inf,inf,inf,inf,1106.1457235900064,inf,inf,inf,1170.2248250623552,inf,inf,inf,inf,inf,inf,inf,inf,863.919339513644,inf,inf,878.8368454985899,inf,inf,inf,inf,1116.0567495893204,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,672.0669245358621,inf,inf,inf,762.1972275918167,inf,inf,918.3509315407462,inf,771.1225039759823,inf,inf,inf,857.6693553516047,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
927.6298680795993,inf,inf,inf,inf,inf,806.7144324497115,inf,0.0,inf,inf,inf,inf,959.8995705711809,920.521948703847,900.3778109384477,inf,inf,inf,inf,inf,inf,inf,866.0844398084802,inf,inf,inf,inf,inf,inf,1228.3332557042238,inf,inf,inf,767.0088349560444,inf,inf,inf,inf,915.3497115311726,inf,inf,inf,inf,inf,754.1626079820142,inf,1230.7505547425858,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,908.6662488730713,inf,inf,inf,inf,inf,inf,1209.074912806639,inf,inf,inf,955.3569141937332,inf,inf,inf,inf,inf,inf,inf,inf,inf,727.9001397579235,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,897.8477651123707,inf,inf,inf,inf,inf,inf,896.7483774838245,inf,inf,inf,1142.0511129574193,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,834.9401710385293,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,629.0599071157162,inf,798.6172295847866,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1222.5052383292189,inf,inf,1068.5552778076058,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
