src,dst,src_name,dst_name,start_I,finish_I,duration_intervals,pred,path_nodes
0,1,VANGUARD 2,VANGUARD 3,56,57,2,0,0->1
0,2,VANGUARD 2,EXPLORER 7,25,28,4,47,0->47->2
0,3,VANGUARD 2,TIROS 1,6,9,4,45,0->45->3
0,4,VANGUARD 2,TRANSIT 2A,18,21,4,8,0->8->4
0,5,VANGUARD 2,SOLRAD 1 (GREB),29,30,2,0,0->5
0,6,VANGUARD 2,COURIER 1B,0,1,2,0,0->6
0,7,VANGUARD 2,EXPLORER 11,23,28,6,39,0->39->7
0,8,VANGUARD 2,TRANSIT 4A,9,10,2,0,0->8
0,9,VANGUARD 2,SOLRAD 3/INJUN 1,23,26,4,14,0->14->9
0,10,VANGUARD 2,TIROS 3,0,5,6,6,0->6->10
0,11,VANGUARD 2,TRANSIT 4B,2,7,6,26,0->26->11
0,12,VANGUARD 2,TRAAC,23,28,6,9,0->14->9->12
0,13,VANGUARD 2,TIROS 4,0,1,2,0,0->13
0,14,VANGUARD 2,TIROS 5,20,21,2,0,0->14
0,15,VANGUARD 2,FTV 3502,6,7,2,0,0->15
0,16,VANGUARD 2,TIROS 6,0,3,4,6,0->6->16
0,17,VANGUARD 2,ALOUETTE 1 (S-27),6,9,4,45,0->45->17
0,18,VANGUARD 2,ANNA 1B,14,15,2,0,0->18
0,19,VANGUARD 2,EXPLORER 16,6,13,8,15,0->15->19
0,20,VANGUARD 2,TRANSIT 5B-1,6,11,6,16,0->6->16->20
0,21,VANGUARD 2,RADIATION SAT (5E 1),39,42,4,41,0->41->21
0,22,VANGUARD 2,TRANSIT 5B-2,18,19,2,0,0->22
0,23,VANGUARD 2,TRANSIT 5E 3,13,14,2,0,0->23
0,24,VANGUARD 2,TIROS 8,24,29,6,30,0->30->24
0,25,VANGUARD 2,GGSE 1 (GGRS),17,20,4,47,0->47->25
0,26,VANGUARD 2,SECOR 1B,0,1,2,0,0->26
0,27,VANGUARD 2,SOLRAD 7A,33,39,7,36,0->43->36->27
0,28,VANGUARD 2,GREB,33,37,5,43,0->43->28
0,29,VANGUARD 2,OPS 3367 A,6,9,4,26,0->26->29
0,30,VANGUARD 2,OPS 3367 B,16,17,2,0,0->30
0,31,VANGUARD 2,OPS 4412 (TRANSIT 9),3,4,2,0,0->31
0,32,VANGUARD 2,OPS 4467 A,49,50,2,0,0->32
0,33,VANGUARD 2,OPS 4467 B,27,30,4,14,0->14->33
0,34,VANGUARD 2,EXPLORER 20,25,26,2,0,0->34
0,35,VANGUARD 2,COSMOS 44,4,7,4,26,0->26->35
0,36,VANGUARD 2,OPS 5798 (TRANSIT 5B-4),33,37,5,43,0->43->36
0,37,VANGUARD 2,EXPLORER 22,2,5,4,26,0->26->37
0,38,VANGUARD 2,CALSPHERE 1,14,15,2,0,0->38
0,39,VANGUARD 2,CALSPHERE 2,13,14,2,0,0->39
0,40,VANGUARD 2,EXPLORER 25 (INJUN-4),19,20,2,0,0->40
0,41,VANGUARD 2,OPS 6582 (TRANSIT 5E-5),0,1,2,0,0->41
0,42,VANGUARD 2,OPS 6582 (TRANSIT 5B-5),10,11,2,0,0->42
0,43,VANGUARD 2,TIROS 9,28,29,2,0,0->43
0,44,VANGUARD 2,SECOR 3,0,5,6,8,0->8->44
0,45,VANGUARD 2,GGSE 2,6,7,2,0,0->45
0,46,VANGUARD 2,OPS 4988 (GREB 6),22,25,4,23,0->23->46
0,47,VANGUARD 2,PORCUPINE 1,17,18,2,0,0->47
0,48,VANGUARD 2,SOLRAD 7B,19,22,4,23,0->23->48
0,49,VANGUARD 2,GGSE 3,5,8,4,41,0->41->49
1,0,VANGUARD 3,VANGUARD 2,56,57,2,1,1->0
1,2,VANGUARD 3,EXPLORER 7,56,59,4,40,1->40->2
1,3,VANGUARD 3,TIROS 1,42,43,2,1,1->3
1,4,VANGUARD 3,TRANSIT 2A,47,52,6,14,1->14->4
1,5,VANGUARD 3,SOLRAD 1 (GREB),47,50,4,6,1->6->5
1,6,VANGUARD 3,COURIER 1B,42,43,2,1,1->6
1,7,VANGUARD 3,EXPLORER 11,0,5,6,9,1->9->7
1,8,VANGUARD 3,TRANSIT 4A,60,61,2,1,1->8
1,9,VANGUARD 3,SOLRAD 3/INJUN 1,10,11,2,1,1->9
1,10,VANGUARD 3,TIROS 3,0,1,2,1,1->10
1,11,VANGUARD 3,TRANSIT 4B,12,13,2,1,1->11
1,12,VANGUARD 3,TRAAC,0,1,2,1,1->12
1,13,VANGUARD 3,TIROS 4,35,38,4,15,1->15->13
1,14,VANGUARD 3,TIROS 5,33,34,2,1,1->14
1,15,VANGUARD 3,FTV 3502,35,36,2,1,1->15
1,16,VANGUARD 3,TIROS 6,29,30,2,1,1->16
1,17,VANGUARD 3,ALOUETTE 1 (S-27),42,43,2,1,1->17
1,18,VANGUARD 3,ANNA 1B,51,56,6,32,1->32->18
1,19,VANGUARD 3,EXPLORER 16,5,6,2,1,1->19
1,20,VANGUARD 3,TRANSIT 5B-1,37,40,4,16,1->16->20
1,21,VANGUARD 3,RADIATION SAT (5E 1),35,38,4,44,1->44->21
1,22,VANGUARD 3,TRANSIT 5B-2,34,37,4,44,1->44->22
1,23,VANGUARD 3,TRANSIT 5E 3,33,34,2,1,1->23
1,24,VANGUARD 3,TIROS 8,0,5,6,9,1->9->24
1,25,VANGUARD 3,GGSE 1 (GGRS),47,52,6,23,1->23->25
1,26,VANGUARD 3,SECOR 1B,54,55,2,1,1->26
1,27,VANGUARD 3,SOLRAD 7A,0,5,6,9,1->9->27
1,28,VANGUARD 3,GREB,25,30,6,23,1->23->28
1,29,VANGUARD 3,OPS 3367 A,23,28,6,10,1->10->29
1,30,VANGUARD 3,OPS 3367 B,37,38,2,1,1->30
1,31,VANGUARD 3,OPS 4412 (TRANSIT 9),35,40,6,15,1->15->31
1,32,VANGUARD 3,OPS 4467 A,47,48,2,1,1->32
1,33,VANGUARD 3,OPS 4467 B,24,27,4,9,1->9->33
1,34,VANGUARD 3,EXPLORER 20,52,55,4,14,1->14->34
1,35,VANGUARD 3,COSMOS 44,46,47,2,1,1->35
1,36,VANGUARD 3,OPS 5798 (TRANSIT 5B-4),51,54,4,32,1->32->36
1,37,VANGUARD 3,EXPLORER 22,35,42,8,15,1->15->37
1,38,VANGUARD 3,CALSPHERE 1,37,38,2,1,1->38
1,39,VANGUARD 3,CALSPHERE 2,35,36,2,1,1->39
1,40,VANGUARD 3,EXPLORER 25 (INJUN-4),56,57,2,1,1->40
1,41,VANGUARD 3,OPS 6582 (TRANSIT 5E-5),35,38,4,15,1->15->41
1,42,VANGUARD 3,OPS 6582 (TRANSIT 5B-5),40,45,6,8,1->8->42
1,43,VANGUARD 3,TIROS 9,54,55,2,1,1->43
1,44,VANGUARD 3,SECOR 3,0,1,2,1,1->44
1,45,VANGUARD 3,GGSE 2,39,42,4,23,1->23->45
1,46,VANGUARD 3,OPS 4988 (GREB 6),24,29,6,23,1->23->46
1,47,VANGUARD 3,PORCUPINE 1,48,51,4,14,1->14->47
1,48,VANGUARD 3,SOLRAD 7B,48,53,6,23,1->23->48
1,49,VANGUARD 3,GGSE 3,24,29,6,8,1->8->49
2,0,EXPLORER 7,VANGUARD 2,27,30,4,47,2->47->0
2,1,EXPLORER 7,VANGUARD 3,44,49,6,6,2->13->6->1
2,3,EXPLORER 7,TIROS 1,15,20,6,5,2->5->3
2,4,EXPLORER 7,TRANSIT 2A,0,1,2,2,2->4
2,5,EXPLORER 7,SOLRAD 1 (GREB),4,5,2,2,2->5
2,6,EXPLORER 7,COURIER 1B,44,47,4,13,2->13->6
2,7,EXPLORER 7,EXPLORER 11,0,7,8,24,2->36->24->7
2,8,EXPLORER 7,TRANSIT 4A,28,33,6,48,2->48->8
2,9,EXPLORER 7,SOLRAD 3/INJUN 1,55,60,6,22,2->22->9
2,10,EXPLORER 7,TIROS 3,5,10,6,27,2->36->27->10
2,11,EXPLORER 7,TRANSIT 4B,17,24,8,5,2->5->11
2,12,EXPLORER 7,TRAAC,5,12,8,27,2->36->27->12
2,13,EXPLORER 7,TIROS 4,44,45,2,2,2->13
2,14,EXPLORER 7,TIROS 5,33,38,6,22,2->22->14
2,15,EXPLORER 7,FTV 3502,13,14,2,2,2->15
2,16,EXPLORER 7,TIROS 6,8,11,4,36,2->36->16
2,17,EXPLORER 7,ALOUETTE 1 (S-27),19,20,2,2,2->17
2,18,EXPLORER 7,ANNA 1B,19,20,2,2,2->18
2,19,EXPLORER 7,EXPLORER 16,20,25,6,31,2->31->19
2,20,EXPLORER 7,TRANSIT 5B-1,15,16,2,2,2->20
2,21,EXPLORER 7,RADIATION SAT (5E 1),7,8,2,2,2->21
2,22,EXPLORER 7,TRANSIT 5B-2,47,48,2,2,2->22
2,23,EXPLORER 7,TRANSIT 5E 3,47,52,6,22,2->22->23
2,24,EXPLORER 7,TIROS 8,3,6,4,36,2->36->24
2,25,EXPLORER 7,GGSE 1 (GGRS),0,1,2,2,2->25
2,26,EXPLORER 7,SECOR 1B,27,32,6,0,2->47->0->26
2,27,EXPLORER 7,SOLRAD 7A,5,8,4,36,2->36->27
2,28,EXPLORER 7,GREB,5,6,2,2,2->28
2,29,EXPLORER 7,OPS 3367 A,5,12,8,4,2->4->29
2,30,EXPLORER 7,OPS 3367 B,47,50,4,22,2->22->30
2,31,EXPLORER 7,OPS 4412 (TRANSIT 9),10,11,2,2,2->31
2,32,EXPLORER 7,OPS 4467 A,20,23,4,36,2->36->32
2,33,EXPLORER 7,OPS 4467 B,6,7,2,2,2->33
2,34,EXPLORER 7,EXPLORER 20,2,3,2,2,2->34
2,35,EXPLORER 7,COSMOS 44,18,23,6,13,2->13->35
2,36,EXPLORER 7,OPS 5798 (TRANSIT 5B-4),0,1,2,2,2->36
2,37,EXPLORER 7,EXPLORER 22,15,16,2,2,2->37
2,38,EXPLORER 7,CALSPHERE 1,47,50,4,22,2->22->38
2,39,EXPLORER 7,CALSPHERE 2,47,50,4,22,2->22->39
2,40,EXPLORER 7,EXPLORER 25 (INJUN-4),57,58,2,2,2->40
2,41,EXPLORER 7,OPS 6582 (TRANSIT 5E-5),10,11,2,2,2->41
2,42,EXPLORER 7,OPS 6582 (TRANSIT 5B-5),18,19,2,2,2->42
2,43,EXPLORER 7,TIROS 9,32,33,2,2,2->43
2,44,EXPLORER 7,SECOR 3,6,9,4,36,2->36->44
2,45,EXPLORER 7,GGSE 2,17,18,2,2,2->45
2,46,EXPLORER 7,OPS 4988 (GREB 6),52,57,6,30,2->22->30->46
2,47,EXPLORER 7,PORCUPINE 1,27,28,2,2,2->47
2,48,EXPLORER 7,SOLRAD 7B,0,1,2,2,2->48
2,49,EXPLORER 7,GGSE 3,5,6,2,2,2->49
3,0,TIROS 1,VANGUARD 2,0,3,4,13,3->13->0
3,1,TIROS 1,VANGUARD 3,42,43,2,3,3->1
3,2,TIROS 1,EXPLORER 7,45,49,5,17,3->17->2
3,4,TIROS 1,TRANSIT 2A,6,11,6,42,3->42->4
3,5,TIROS 1,SOLRAD 1 (GREB),21,22,2,3,3->5
3,6,TIROS 1,COURIER 1B,14,15,2,3,3->6
3,7,TIROS 1,EXPLORER 11,19,28,10,8,3->15->8->7
