0,1,2,3,4,5,6,7,8,9
0.0,inf,inf,inf,inf,inf,inf,inf,927.6298680795993,inf
inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,0.0,inf,inf,917.9538218884675,inf,inf,inf,inf
inf,inf,inf,0.0,inf,inf,856.5265617342673,inf,inf,inf
inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
inf,inf,917.9538218884675,inf,inf,0.0,inf,inf,inf,inf
inf,inf,inf,856.5265617342673,inf,inf,0.0,inf,806.7144324497115,inf
inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
927.6298680795993,inf,inf,inf,inf,inf,806.7144324497115,inf,0.0,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0
