0,1,2,3,4,5,6,7,8,9
0.0,inf,inf,inf,inf,inf,inf,inf,981.1473140595469,inf
inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,0.0,inf,inf,1017.6152906594076,inf,inf,inf,inf
inf,inf,inf,0.0,inf,inf,1023.593514095554,inf,inf,inf
inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
inf,inf,1017.6152906594076,inf,inf,0.0,inf,inf,inf,inf
inf,inf,inf,1023.593514095554,inf,inf,0.0,inf,806.7144324497115,inf
inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
981.1473140595469,inf,inf,inf,inf,inf,806.7144324497115,inf,0.0,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0
