0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,4733.304425652049,inf,inf,inf,3542.496855484378,3993.330314006856,inf,2874.752575059414,inf,inf,inf,inf,3605.0331091901076,4335.904068026525,4953.065953577037,inf,inf,4845.824661663946,inf,inf,inf,3841.3750037892773,2935.366327464747,inf,inf,4264.623637946149,inf,inf,inf,2765.889544553145,3469.1226071281762,4845.084334500144,inf,3609.126651905568,inf,inf,inf,3164.479921037884,2844.4046956714305,3486.7425106131136,3008.5846006870956,3685.498624475097,2966.9652159782167,inf,3926.569513790622,inf,2776.57997257909,inf,inf
4733.304425652049,0.0,inf,3355.142692368952,inf,inf,3640.0976426605184,4994.198279373783,4137.0999619426175,3239.840406325472,3930.5671838359403,4402.945123300153,3105.7275718112987,4785.347736598868,3717.246648838231,4865.453790869943,3740.8356640737165,4543.933475634888,inf,3582.617570020634,inf,inf,inf,3319.6814310174195,inf,inf,2460.6544994350415,inf,inf,4861.372593775634,3278.6855318361017,inf,3579.895157051306,inf,inf,3023.280109033405,inf,inf,4370.1982676711705,3851.271069601016,4793.843808466994,inf,inf,4351.440254838449,3605.153629536981,inf,inf,inf,inf,inf
inf,inf,0.0,inf,4086.512562331344,2921.0950020870564,inf,inf,inf,inf,inf,inf,inf,4915.798882370518,inf,3574.6952485622096,inf,4542.758414999425,3322.1835453213484,inf,4905.281218538357,2786.8154510646254,3312.52665862315,inf,inf,2909.2909113102983,inf,inf,3283.1616301184167,inf,inf,3060.332595493822,4931.679474592839,2950.7419377725264,4012.4417938241954,inf,3453.875715117663,4345.512812493039,inf,inf,3871.9147214731884,2853.601493893129,3800.0474007075513,2930.5742352288526,inf,3949.4000324313965,inf,4382.494702807386,2640.715429789873,3772.02751429653
inf,3355.142692368952,inf,0.0,inf,4266.673669316396,3036.3566366220894,inf,inf,inf,inf,3085.81306685749,inf,2841.8044030667106,2900.3558952629223,4479.071572629649,inf,3030.9344227838947,inf,4973.539619125108,inf,inf,4922.397657295134,3836.4067344819196,inf,inf,inf,inf,inf,3361.380329623894,3652.3641790984093,3026.263757042369,4048.8053661314952,inf,inf,2974.297640926934,inf,4293.203005329317,5009.834104622584,4543.641058586883,4944.527496615603,2771.1870229134324,4271.693995796627,2718.677102912487,inf,2777.3210066260917,inf,inf,inf,inf
inf,inf,4086.512562331344,inf,0.0,inf,inf,inf,4776.81122722586,inf,inf,inf,inf,inf,inf,inf,inf,inf,4724.1443679198455,inf,inf,inf,4321.613621458642,4371.049938680334,inf,2343.573758114548,4631.089578082322,inf,inf,2728.2428102025133,4348.6206838416365,inf,inf,inf,2779.34995061942,inf,3464.8793325957904,inf,3793.50730994638,4130.728724873186,3312.134285974769,inf,inf,inf,inf,inf,inf,4172.708272863062,3404.815796042942,2703.244172780953
3542.496855484378,inf,2921.0950020870564,4266.673669316396,inf,0.0,4516.079365941456,inf,inf,inf,inf,inf,inf,3387.1304713954673,inf,2556.176421361847,inf,2881.3679693513845,inf,inf,3650.6306202915707,2611.545161312747,inf,inf,inf,inf,4554.466619606848,4929.995734739435,4122.443343914312,inf,inf,4203.32837605362,3139.3980076202747,3956.0932327542255,2924.4226382697825,3626.5809575585117,2921.948637759073,inf,inf,inf,3016.88761937497,3016.0658959994503,inf,3106.1507249781403,inf,3090.5535953940303,inf,2935.74910843729,4827.797923903719,2887.222802854867
3993.330314006856,3640.0976426605184,inf,3036.3566366220894,inf,4516.079365941456,0.0,inf,2722.4928195956686,inf,inf,4526.144771776482,inf,2824.42677191415,3701.567789398271,2855.9200692344048,3661.2258137584417,3454.0703952623758,inf,inf,inf,inf,2840.3584285596853,3711.919377798048,inf,inf,2802.9252558450094,inf,inf,inf,3420.598699266918,inf,3913.1217941320324,inf,inf,2682.680498927933,4965.5632780952255,inf,2421.40962723892,3078.884090748462,inf,3760.2909258764694,inf,2936.041630981363,inf,4202.789787099374,inf,inf,inf,inf
inf,4994.198279373783,inf,inf,inf,inf,inf,0.0,inf,4408.963152169038,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2909.0118493921227,3998.8676245771053,inf,inf,2854.131349106351,inf,inf,2703.6949835327737,4476.220175660735,2580.5717826669434,inf,inf,inf,2724.6800452715115,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3459.2722832156787,inf,inf,inf
2874.752575059414,4137.0999619426175,inf,inf,4776.81122722586,inf,2722.4928195956686,inf,0.0,4263.714198529539,4929.941125654805,inf,inf,2683.2203223002066,2962.480881469755,2666.954469544752,3577.9051900227496,3679.3584446131717,inf,inf,inf,inf,4649.23337446461,2780.81750711175,inf,3892.7973515127437,4639.371393869537,inf,inf,inf,3118.403896149443,inf,inf,3816.6081459957495,2753.109335985775,inf,inf,inf,3185.469280104416,2631.619731974262,3573.868912900449,4206.83963798257,4625.573416726167,4654.870074430181,4294.187272077934,2742.7051142832115,inf,2829.456350542474,3719.224060290893,4758.186626902136
inf,3239.840406325472,inf,inf,inf,inf,inf,4408.963152169038,4263.714198529539,0.0,3578.230420886524,3666.2338888434083,2902.579797978264,inf,3922.752633657074,inf,inf,inf,inf,2789.0065568586097,2862.2796518168534,3545.9391025551704,4670.777355032716,2782.892083823057,3664.809996414185,inf,4151.410435628381,3695.369535721226,4549.452566584383,inf,3049.7004086083975,inf,inf,2435.151338667533,inf,inf,inf,inf,3592.7760289882162,3209.9755489917047,inf,inf,inf,inf,4902.631186377307,inf,inf,inf,inf,inf
inf,3930.5671838359403,inf,inf,inf,inf,inf,inf,4929.941125654805,3578.230420886524,0.0,4756.801068227877,2822.325761130363,inf,4067.301605109236,inf,4185.5893115478875,inf,inf,2804.652433613742,3237.6103908246196,inf,4358.478965383155,3042.997717222884,inf,inf,inf,4269.108958344452,inf,inf,3015.8779437945495,inf,inf,4388.238349510697,inf,inf,inf,inf,3837.141536786077,3421.214694387351,inf,inf,inf,4915.299058909251,3569.1788856138696,inf,inf,inf,inf,inf
inf,4402.945123300153,inf,3085.81306685749,inf,inf,4526.144771776482,inf,inf,3666.2338888434083,4756.801068227877,0.0,3991.8303929806143,3759.9568597696825,3982.3230622888836,2681.024065580456,3635.9746982733204,2695.383544181775,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3962.755054851967,inf,4912.913664445145,3140.396855788581,inf,inf,3090.5370687082254,inf,inf,inf,inf,4564.737392872632,3658.1007870916565,inf,inf,4927.366630577694,3641.369524225438,inf,inf,inf,inf
inf,3105.7275718112987,inf,inf,inf,inf,inf,inf,inf,2902.579797978264,2822.325761130363,3991.8303929806143,0.0,inf,4696.433790060605,inf,3889.198588169677,inf,inf,3341.7449544524784,4953.310912727873,inf,inf,3925.0867446205157,inf,inf,inf,inf,inf,inf,4321.239871287079,inf,inf,4530.134761422434,inf,inf,inf,inf,inf,4796.439651965451,inf,inf,inf,inf,3397.2394198927677,inf,inf,inf,inf,inf
