0,1,2,3,4,5,6,7,8,9
0.0,inf,inf,inf,inf,inf,inf,inf,1039.7147925785548,inf
inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,0.0,inf,inf,1179.0343676602874,inf,inf,inf,inf
inf,inf,inf,0.0,inf,inf,1155.213811032764,inf,inf,inf
inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
inf,inf,1179.0343676602874,inf,inf,0.0,inf,inf,inf,inf
inf,inf,inf,1155.213811032764,inf,inf,0.0,inf,1093.765041883379,inf
inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
1039.7147925785548,inf,inf,inf,inf,inf,1093.765041883379,inf,0.0,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0
