0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,inf,inf,inf,inf,inf,inf,inf,981.1473140595469,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,930.287528520808,inf,inf,inf,inf,inf,inf,952.5857698906705,inf,inf,inf,inf,inf,inf,inf,1460.9075186602568,1125.1944603078944,1351.7548061474508,1447.6190302483708,inf,inf,inf,inf,inf,1005.485664866772,inf,inf
inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,862.782774410562,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,0.0,inf,inf,1017.6152906594076,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1401.4531238584955,inf,inf,1222.2695166404446,inf,inf,inf,1060.5703790196044,inf,inf,inf,inf,inf,1250.5800442336554,inf,1361.5360828549944,inf,inf,883.782247302642,inf,inf,inf,inf,925.6406283945521,inf,1047.8043737132436,inf,inf,inf,inf,1139.6092442048136,inf
inf,inf,inf,0.0,inf,inf,1023.593514095554,inf,inf,inf,inf,834.9401710385293,inf,793.1367956546097,1198.4676947077685,inf,inf,883.5273903091635,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1381.3801535460984,inf,inf,inf,inf,inf,inf,inf,inf,inf,908.4299247474637,inf,1118.6668085969977,inf,917.4414204638173,inf,inf,inf,inf
inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1143.4650874887882,inf,inf,inf,955.6701095016808,inf,inf,inf,inf,1261.2731544200203,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1093.7726786109815
inf,inf,1017.6152906594076,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,943.3228738743903,inf,1186.6700769677814,inf,inf,inf,1127.1527014195215,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1156.5249771698589,inf,1028.170333514582,inf,inf,inf,inf,1210.3873372937012,inf,inf,inf,inf,inf,1221.5974174975563,inf,1376.8105809975814
inf,inf,inf,1023.593514095554,inf,inf,0.0,inf,806.7144324497115,inf,inf,inf,inf,983.1565072373825,inf,938.2470691857931,inf,inf,inf,inf,inf,inf,1244.3553167775017,inf,inf,inf,1346.5832184404169,inf,inf,inf,inf,inf,inf,inf,inf,977.2269404367493,inf,inf,878.8368454985899,1366.7253617040096,inf,inf,inf,1215.5701390678178,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,899.6973044538623,inf,inf,inf,762.1972275918167,inf,inf,1073.229880095102,inf,771.1225039759823,inf,inf,inf,1125.9135660262878,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1405.3494500496843,inf,inf,inf
981.1473140595469,inf,inf,inf,inf,inf,806.7144324497115,inf,0.0,inf,inf,inf,inf,1065.5748402307186,920.521948703847,900.3778109384477,inf,inf,inf,inf,inf,inf,inf,948.2868699176462,inf,inf,inf,inf,inf,inf,1334.178451275625,inf,inf,inf,767.0088349560444,inf,inf,inf,inf,1063.084987218074,inf,inf,inf,inf,inf,754.1626079820142,inf,1283.1948049796326,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,908.6662488730713,inf,inf,inf,inf,inf,inf,1335.088610164091,inf,inf,inf,1176.1103848601902,inf,inf,inf,inf,inf,inf,1345.0639739066064,inf,inf,866.1230087152192,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
