Satellite 1,Satellite 2,Distance
COSMOS,SS,2234.226533299699
COSMOS,METEOR,11009.672562042117
COSMOS,REX,3106.2446170584853
COSMOS,S6,11473.967394384143
COSMOS,STARLINK-2123,3586.8346581434635
COSMOS,STARLINK-3861,1980.4650082200405
COSMOS,STARLINK-4102,1597.293100659157
COSMOS,STARLINK-5663,9203.34873287641
COSMOS,STARLINK-5067,11066.895108242683
COSMOS,STARLINK-6076,9324.61604175287
COSMOS,STARLINK-6256,9437.652592319686
COSMOS,STARLINK-6118,9014.793697518264
COSMOS,STARLINK-6099,9077.826409616113
COSMOS,STARLINK-6134,9088.351592117993
COSMOS,STARLINK-30350,9161.018607200933
COSMOS,STARLINK-30854,9144.171220368404
COSMOS,STARLINK-30887,3308.355961907077
COSMOS,STARLINK-31095,9091.375344202388
COSMOS,STARLINK-31478,9143.285596335338
COSMOS,STARLINK-31503,9059.381806314394
COSMOS,STARLINK-31487,9111.412976961863
COSMOS,STARLINK-31282,9205.208686038839
COSMOS,FLOCK,3209.0211176315856
COSMOS,ONEWEB-0706,5347.52933144321
COSMOS,STARLINK-11429,1916.0746336829627
COSMOS,STARLINK-33560,9033.973520775404
COSMOS,FLOCK,3001.8183509076866
COSMOS,STARLINK-11417,9049.388043655325
COSMOS,STARLINK-11571,9505.499174967832
COSMOS,STARLINK-11347,9287.008989334641
COSMOS,STARLINK-33825,2535.154029987064
SS,COSMOS,2234.226533299699
SS,METEOR,9140.341709003706
SS,COSMOS,8492.593121494929
SS,COSMOS,4918.409499378076
SS,COSMOS,9121.27676892082
SS,REX,4428.111638270296
SS,S6,9884.744464580215
SS,STARLINK-2123,3741.705541037176
SS,STARLINK-3861,3019.2465209184124
SS,STARLINK-4102,2936.0778886044286
SS,STARLINK-5663,7521.840186731541
SS,STARLINK-5067,9249.684338049687
SS,STARLINK-6076,7908.892714459177
SS,STARLINK-6256,8105.124985276279
SS,STARLINK-6118,7540.631165384357
SS,STARLINK-6099,7715.339151397144
SS,STARLINK-6134,7779.132676616382
SS,STARLINK-30350,7868.684316096348
SS,STARLINK-30854,7432.413770827531
SS,STARLINK-30887,3696.207703182766
SS,STARLINK-31095,7411.407596470579
SS,STARLINK-31478,7274.9936981079545
SS,STARLINK-31503,7463.198680718801
SS,STARLINK-31487,7667.898613670296
SS,STARLINK-31282,7541.5058724374485
SS,FLOCK,3248.4132114584654
SS,ONEWEB-0706,5523.91398995959
SS,STARLINK-11429,2685.0864880876775
SS,STARLINK-33560,7781.056806972203
SS,FLOCK,2916.5364213395483
SS,STARLINK-11417,7560.585661232501
SS,STARLINK-11571,7786.468613496275
SS,STARLINK-11347,7869.730903859409
SS,STARLINK-33825,3465.8917228364267
METEOR,COSMOS,11009.672562042117
METEOR,SS,9140.341709003706
METEOR,COSMOS,2589.7719898537616
METEOR,COSMOS,13298.748664067358
METEOR,COSMOS,8362.433489632554
METEOR,REX,13434.712074193236
METEOR,S6,5656.84107196981
METEOR,STARLINK-2123,12479.793326285015
METEOR,STARLINK-3861,12146.004800117938
METEOR,STARLINK-4102,11882.723047190955
METEOR,STARLINK-5663,2892.098662881262
METEOR,STARLINK-5067,4268.6680855752475
METEOR,STARLINK-6076,6597.857051000716
METEOR,STARLINK-6256,7049.479613368272
METEOR,STARLINK-6118,4648.887873550525
METEOR,STARLINK-6099,4463.550547590591
METEOR,STARLINK-6134,4745.29727217361
METEOR,STARLINK-30350,7208.777759290305
METEOR,STARLINK-30854,4664.969411505326
METEOR,STARLINK-30887,12558.916188329793
METEOR,STARLINK-31095,4776.366172210474
METEOR,STARLINK-31478,4164.070055406322
METEOR,STARLINK-31503,5102.722886108366
METEOR,STARLINK-31487,3755.190429441441
METEOR,STARLINK-31282,2356.3602331643024
METEOR,FLOCK,11117.214416212462
METEOR,ONEWEB-0706,12977.972846443028
METEOR,STARLINK-11429,11711.009777773335
METEOR,STARLINK-33560,6695.103942747917
METEOR,FLOCK,10791.5716456257
METEOR,STARLINK-11417,5877.657661262216
METEOR,STARLINK-11571,6279.34670535957
METEOR,STARLINK-11347,6984.454444663767
METEOR,STARLINK-33825,11468.359412283504
COSMOS,SS,8492.593121494929
COSMOS,METEOR,2589.7719898537616
COSMOS,REX,12819.046006140965
COSMOS,S6,4528.834494286982
COSMOS,STARLINK-2123,11410.910931430572
COSMOS,STARLINK-3861,11409.059181097082
COSMOS,STARLINK-4102,11387.379483401415
COSMOS,STARLINK-5663,3036.2289941045847
COSMOS,STARLINK-5067,2765.261726560113
COSMOS,STARLINK-6076,5250.17864100232
COSMOS,STARLINK-6256,5722.637340652712
COSMOS,STARLINK-6118,4223.718532065324
COSMOS,STARLINK-6099,4655.921885887752
COSMOS,STARLINK-6134,4913.60548598774
COSMOS,STARLINK-30350,5891.382513270939
COSMOS,STARLINK-30854,3333.0072848927657
COSMOS,STARLINK-30887,11500.182083357317
COSMOS,STARLINK-31095,3505.429142525463
COSMOS,STARLINK-31478,2500.6172490599774
COSMOS,STARLINK-31503,3947.341263248781
COSMOS,STARLINK-31487,4268.766124556653
COSMOS,STARLINK-31282,3331.97687930939
COSMOS,FLOCK,10798.949527414843
COSMOS,ONEWEB-0706,12614.940704160508
COSMOS,STARLINK-11429,11066.93500513886
COSMOS,STARLINK-33560,5714.628790440713
COSMOS,FLOCK,10473.966506358493
COSMOS,STARLINK-11417,4658.490413805485
COSMOS,STARLINK-11571,4296.735527507202
COSMOS,STARLINK-11347,5470.615872296562
COSMOS,STARLINK-33825,11343.731410177845
COSMOS,SS,4918.409499378076
COSMOS,METEOR,13298.748664067358
COSMOS,REX,4430.154576797633
COSMOS,S6,12276.447710489041
COSMOS,STARLINK-2123,4197.352640160718
COSMOS,STARLINK-3861,3549.004007910167
COSMOS,STARLINK-4102,4186.020020118755
COSMOS,STARLINK-5663,11037.121822026278
COSMOS,STARLINK-5067,12257.431924575581
COSMOS,STARLINK-6076,9793.111239007314
COSMOS,STARLINK-6256,9744.904367432717
COSMOS,STARLINK-6118,10302.01330294979
COSMOS,STARLINK-6099,10584.224650018361
COSMOS,STARLINK-6134,10521.530264308496
COSMOS,STARLINK-30350,9417.948479625291
COSMOS,STARLINK-30854,10300.484488709046
COSMOS,STARLINK-30887,3589.7931297362347
COSMOS,STARLINK-31095,10216.9225255891
COSMOS,STARLINK-31478,10494.520285440229
COSMOS,STARLINK-31503,10083.172192187996
COSMOS,STARLINK-31487,10872.99387532525
COSMOS,STARLINK-31282,11352.139841307313
COSMOS,FLOCK,6285.252013383927
COSMOS,ONEWEB-0706,7838.424033821783
COSMOS,STARLINK-11429,4204.637864973782
COSMOS,STARLINK-33560,9543.798849890176
COSMOS,FLOCK,6169.431897875564
COSMOS,STARLINK-11417,9800.824301370252
COSMOS,STARLINK-11571,10108.131690905126
COSMOS,STARLINK-11347,9604.682344619958
COSMOS,STARLINK-33825,5762.594911266099
COSMOS,SS,9121.27676892082
COSMOS,METEOR,8362.433489632554
COSMOS,REX,12918.260219352314
COSMOS,S6,3570.3091771785816
COSMOS,STARLINK-2123,11567.082309820451
COSMOS,STARLINK-3861,11332.9387536662
COSMOS,STARLINK-4102,11588.433724349261
COSMOS,STARLINK-5663,5733.829699613788
COSMOS,STARLINK-5067,4909.621928776344
COSMOS,STARLINK-6076,2066.417784886565
COSMOS,STARLINK-6256,1608.5889621379877
COSMOS,STARLINK-6118,3948.64114740986
COSMOS,STARLINK-6099,4682.543155210328
COSMOS,STARLINK-6134,4503.631182957535
COSMOS,STARLINK-30350,1598.1912631239263
COSMOS,STARLINK-30854,3997.521844267941
COSMOS,STARLINK-30887,11292.138745888933
COSMOS,STARLINK-31095,3846.862865885883
COSMOS,STARLINK-31478,4897.089284994273
COSMOS,STARLINK-31503,3436.610878542583
COSMOS,STARLINK-31487,5464.081563392697
COSMOS,STARLINK-31282,6778.831595029048
COSMOS,FLOCK,12347.842588642732
COSMOS,ONEWEB-0706,14622.15426499855
COSMOS,STARLINK-11429,11414.702897797657
COSMOS,STARLINK-33560,1883.3729040091519
COSMOS,FLOCK,12000.035066653372
COSMOS,STARLINK-11417,2700.564169730855
COSMOS,STARLINK-11571,3712.2539829561506
COSMOS,STARLINK-11347,2086.2798825392006
COSMOS,STARLINK-33825,12229.107888148179
REX,COSMOS,3106.2446170584853
REX,SS,4428.111638270296
REX,METEOR,13434.712074193236
REX,COSMOS,12819.046006140965
REX,COSMOS,4430.154576797633
REX,COSMOS,12918.260219352314
REX,S6,14176.207613000284
REX,STARLINK-2123,2612.1058557905944
REX,STARLINK-3861,1620.201572774254
REX,STARLINK-4102,1683.5144208181468
REX,STARLINK-5663,11928.84343238575
REX,STARLINK-5067,13621.07243202727
REX,STARLINK-6076,12008.78831641209
REX,STARLINK-6256,12127.475132368816
REX,STARLINK-6118,11870.6197486243
REX,STARLINK-6099,12007.683713538207
REX,STARLINK-6134,12041.79930996802
REX,STARLINK-30350,11850.450569432456
REX,STARLINK-30854,11783.18413949871
REX,STARLINK-30887,2563.384960136428
REX,STARLINK-31095,11753.656840385947
REX,STARLINK-31478,11648.214612723146
REX,STARLINK-31503,11772.781898203368
REX,STARLINK-31487,11990.84779530572
REX,STARLINK-31282,11887.649370093926
REX,FLOCK,3022.5098559689595
REX,ONEWEB-0706,3629.227278733177
REX,STARLINK-11429,1757.7042738507866
REX,STARLINK-33560,11851.181024907286
REX,FLOCK,3167.909460561842
REX,STARLINK-11417,11771.357976364448
REX,STARLINK-11571,11901.728331230766
REX,STARLINK-11347,11895.139290823841
REX,STARLINK-33825,2921.968202367167
S6,COSMOS,11473.967394384143
S6,SS,9884.744464580215
S6,METEOR,5656.84107196981
S6,COSMOS,4528.834494286982
S6,COSMOS,12276.447710489041
S6,COSMOS,3570.3091771785816
S6,REX,14176.207613000284
S6,STARLINK-2123,12740.353698980794
S6,STARLINK-3861,12600.182978823752
S6,STARLINK-4102,12721.924421264226
S6,STARLINK-5663,3884.9876883528505
S6,STARLINK-5067,1795.7968135675287
S6,STARLINK-6076,2558.7338730075594
S6,STARLINK-6256,2769.3687393259615
S6,STARLINK-6118,2940.3628794701863
S6,STARLINK-6099,3708.99815765354
S6,STARLINK-6134,3713.886122689654
S6,STARLINK-30350,3098.940123814431
S6,STARLINK-30854,2534.11035250148
S6,STARLINK-30887,12619.842177074344
S6,STARLINK-31095,2514.7359772729146
S6,STARLINK-31478,3120.090695915539
S6,STARLINK-31503,2435.198062461758
S6,STARLINK-31487,4134.357128322235
S6,STARLINK-31282,4931.255000270531
S6,FLOCK,12883.372549818367
S6,ONEWEB-0706,15051.147858109387
S6,STARLINK-11429,12486.142915582599
S6,STARLINK-33560,2972.2387883726674
S6,FLOCK,12526.075432493337
S6,STARLINK-11417,2489.6630660715437
S6,STARLINK-11571,3003.719644623183
S6,STARLINK-11347,2896.3973883045223
S6,STARLINK-33825,13030.382334699712
STARLINK-2123,COSMOS,3586.8346581434635
STARLINK-2123,SS,3741.705541037176
STARLINK-2123,METEOR,12479.793326285015
STARLINK-2123,COSMOS,11410.910931430572
STARLINK-2123,COSMOS,4197.352640160718
STARLINK-2123,COSMOS,11567.082309820451
STARLINK-2123,REX,2612.1058557905944
STARLINK-2123,S6,12740.353698980794
STARLINK-2123,STARLINK-3861,1814.59840571682
STARLINK-2123,STARLINK-4102,2832.505291386179
STARLINK-2123,STARLINK-5663,10942.164014243179
STARLINK-2123,STARLINK-5067,12137.055946817381
STARLINK-2123,STARLINK-6076,10559.601682184537
STARLINK-2123,STARLINK-6256,10681.540536396438
STARLINK-2123,STARLINK-6118,10803.790337655519
STARLINK-2123,STARLINK-6099,11160.56474850372
STARLINK-2123,STARLINK-6134,11208.403739011468
STARLINK-2123,STARLINK-30350,10415.94103230685
STARLINK-2123,STARLINK-30854,10397.433877512514
STARLINK-2123,STARLINK-30887,610.1617606191551
STARLINK-2123,STARLINK-31095,10385.307239500642
STARLINK-2123,STARLINK-31478,10196.637273281436
STARLINK-2123,STARLINK-31503,10438.037350696117
STARLINK-2123,STARLINK-31487,11195.35548038678
STARLINK-2123,STARLINK-31282,11077.344670634682
STARLINK-2123,FLOCK,3792.9051677231846
STARLINK-2123,ONEWEB-0706,4637.64390862881
STARLINK-2123,STARLINK-11429,2126.6619745218395
STARLINK-2123,STARLINK-33560,10598.037863336953
STARLINK-2123,FLOCK,3793.267031765148
STARLINK-2123,STARLINK-11417,10399.213023782344
STARLINK-2123,STARLINK-11571,10165.839930118611
STARLINK-2123,STARLINK-11347,10354.033178579484
STARLINK-2123,STARLINK-33825,4410.102853100646
STARLINK-3861,COSMOS,1980.4650082200405
STARLINK-3861,SS,3019.2465209184124
STARLINK-3861,METEOR,12146.004800117938
STARLINK-3861,COSMOS,11409.059181097082
STARLINK-3861,COSMOS,3549.004007910167
STARLINK-3861,COSMOS,11332.9387536662
STARLINK-3861,REX,1620.201572774254
STARLINK-3861,S6,12600.182978823752
STARLINK-3861,STARLINK-2123,1814.59840571682
STARLINK-3861,STARLINK-4102,1143.5673360707685
STARLINK-3861,STARLINK-5663,10504.784868890414
STARLINK-3861,STARLINK-5067,12081.715752213266
STARLINK-3861,STARLINK-6076,10408.57169803752
STARLINK-3861,STARLINK-6256,10524.876755428168
STARLINK-3861,STARLINK-6118,10363.719040059355
STARLINK-3861,STARLINK-6099,10562.102616546086
STARLINK-3861,STARLINK-6134,10592.549529489397
STARLINK-3861,STARLINK-30350,10248.090539744955
STARLINK-3861,STARLINK-30854,10230.724631401914
STARLINK-3861,STARLINK-30887,1607.3230352625587
STARLINK-3861,STARLINK-31095,10198.627630292796
STARLINK-3861,STARLINK-31478,10119.98981875667
STARLINK-3861,STARLINK-31503,10210.898369631643
STARLINK-3861,STARLINK-31487,10585.221087247875
STARLINK-3861,STARLINK-31282,10547.497285143956
STARLINK-3861,FLOCK,2905.459117818025
STARLINK-3861,ONEWEB-0706,4347.853603607452
STARLINK-3861,STARLINK-11429,752.9455072695024
STARLINK-3861,STARLINK-33560,10275.432934090233
STARLINK-3861,FLOCK,2866.6242872802513
STARLINK-3861,STARLINK-11417,10188.28282344168
STARLINK-3861,STARLINK-11571,10300.990356838374
STARLINK-3861,STARLINK-11347,10284.234060903505
STARLINK-3861,STARLINK-33825,2922.292928737264
STARLINK-4102,COSMOS,1597.293100659157
STARLINK-4102,SS,2936.0778886044286
STARLINK-4102,METEOR,11882.723047190955
STARLINK-4102,COSMOS,11387.379483401415
STARLINK-4102,COSMOS,4186.020020118755
STARLINK-4102,COSMOS,11588.433724349261
STARLINK-4102,REX,1683.5144208181468
STARLINK-4102,S6,12721.924421264226
STARLINK-4102,STARLINK-2123,2832.505291386179
STARLINK-4102,STARLINK-3861,1143.5673360707685
STARLINK-4102,STARLINK-5663,10336.506936618895
STARLINK-4102,STARLINK-5067,12169.298097876012
STARLINK-4102,STARLINK-6076,10621.369104448399
STARLINK-4102,STARLINK-6256,10760.376914626426
STARLINK-4102,STARLINK-6118,10310.576254731908
STARLINK-4102,STARLINK-6099,10394.323087220151
STARLINK-4102,STARLINK-6134,10431.175597245452
STARLINK-4102,STARLINK-30350,10492.714034555027
STARLINK-4102,STARLINK-30854,10315.335864609377
STARLINK-4102,STARLINK-30887,2727.529954725379
STARLINK-4102,STARLINK-31095,10282.172442043237
STARLINK-4102,STARLINK-31478,10201.778459528528
STARLINK-4102,STARLINK-31503,10297.78363744941
STARLINK-4102,STARLINK-31487,10359.165783664399
STARLINK-4102,STARLINK-31282,10269.207318196883
STARLINK-4102,FLOCK,2183.0642252642865
STARLINK-4102,ONEWEB-0706,3909.1780585876654
STARLINK-4102,STARLINK-11429,792.6573554334835
STARLINK-4102,STARLINK-33560,10413.93054180899
STARLINK-4102,FLOCK,2141.6862655322084
STARLINK-4102,STARLINK-11417,10332.128407690185
STARLINK-4102,STARLINK-11571,10601.57449004466
STARLINK-4102,STARLINK-11347,10557.124875007674
STARLINK-4102,STARLINK-33825,1806.5759224809947
STARLINK-5663,COSMOS,9203.34873287641
STARLINK-5663,SS,7521.840186731541
STARLINK-5663,METEOR,2892.098662881262
STARLINK-5663,COSMOS,3036.2289941045847
STARLINK-5663,COSMOS,11037.121822026278
STARLINK-5663,COSMOS,5733.829699613788
STARLINK-5663,REX,11928.84343238575
STARLINK-5663,S6,3884.9876883528505
STARLINK-5663,STARLINK-2123,10942.164014243179
STARLINK-5663,STARLINK-3861,10504.784868890414
STARLINK-5663,STARLINK-4102,10336.506936618895
STARLINK-5663,STARLINK-5067,3054.285843142339
STARLINK-5663,STARLINK-6076,4056.711112440235
STARLINK-5663,STARLINK-6256,4478.210510604026
STARLINK-5663,STARLINK-6118,1837.233988020799
STARLINK-5663,STARLINK-6099,1759.2894414163777
STARLINK-5663,STARLINK-6134,2046.1636708668777
STARLINK-5663,STARLINK-30350,4584.862921166207
STARLINK-5663,STARLINK-30854,2338.1258445172743
STARLINK-5663,STARLINK-30887,10898.375632716112
STARLINK-5663,STARLINK-31095,2369.0247643465564
STARLINK-5663,STARLINK-31478,2326.134423623065
STARLINK-5663,STARLINK-31503,2558.4440448154146
STARLINK-5663,STARLINK-31487,1246.7866894831038
STARLINK-5663,STARLINK-31282,1117.2389280694902
STARLINK-5663,FLOCK,10076.563253458991
STARLINK-5663,ONEWEB-0706,12235.191839898907
STARLINK-5663,STARLINK-11429,10199.745456502367
STARLINK-5663,STARLINK-33560,3950.5639185091386
STARLINK-5663,FLOCK,9718.87108960621
STARLINK-5663,STARLINK-11417,3286.79539601335
STARLINK-5663,STARLINK-11571,4298.623929247595
STARLINK-5663,STARLINK-11347,4502.014177824467
STARLINK-5663,STARLINK-33825,10199.631213744322
STARLINK-5067,COSMOS,11066.895108242683
STARLINK-5067,SS,9249.684338049687
STARLINK-5067,METEOR,4268.6680855752475
STARLINK-5067,COSMOS,2765.261726560113
STARLINK-5067,COSMOS,12257.431924575581
STARLINK-5067,COSMOS,4909.621928776344
STARLINK-5067,REX,13621.07243202727
STARLINK-5067,S6,1795.7968135675287
STARLINK-5067,STARLINK-2123,12137.055946817381
STARLINK-5067,STARLINK-3861,12081.715752213266
STARLINK-5067,STARLINK-4102,12169.298097876012
STARLINK-5067,STARLINK-5663,3054.285843142339
STARLINK-5067,STARLINK-6076,3244.4978004306263
STARLINK-5067,STARLINK-6256,3640.8139122593025
STARLINK-5067,STARLINK-6118,2962.1346200827975
STARLINK-5067,STARLINK-6099,3722.7398366284624
STARLINK-5067,STARLINK-6134,3860.039118083648
STARLINK-5067,STARLINK-30350,3911.466999878521
STARLINK-5067,STARLINK-30854,2009.4244002992089
STARLINK-5067,STARLINK-30887,12098.514014920644
STARLINK-5067,STARLINK-31095,2121.33379787776
STARLINK-5067,STARLINK-31478,1988.2478458846851
STARLINK-5067,STARLINK-31503,2378.9901308239487
STARLINK-5067,STARLINK-31487,3819.060022234725
STARLINK-5067,STARLINK-31282,4001.292246382877
STARLINK-5067,FLOCK,12054.984110640235
STARLINK-5067,ONEWEB-0706,14102.464993131747
STARLINK-5067,STARLINK-11429,11884.924763327315
STARLINK-5067,STARLINK-33560,3797.78492195679
STARLINK-5067,FLOCK,11706.071309811425
STARLINK-5067,STARLINK-11417,2863.1796200900512
STARLINK-5067,STARLINK-11571,2782.1290041116663
STARLINK-5067,STARLINK-11347,3521.795684038555
STARLINK-5067,STARLINK-33825,12371.371086852216
STARLINK-6076,COSMOS,9324.61604175287
STARLINK-6076,SS,7908.892714459177
STARLINK-6076,METEOR,6597.857051000716
STARLINK-6076,COSMOS,5250.17864100232
STARLINK-6076,COSMOS,9793.111239007314
STARLINK-6076,COSMOS,2066.417784886565
STARLINK-6076,REX,12008.78831641209
STARLINK-6076,S6,2558.7338730075594
STARLINK-6076,STARLINK-2123,10559.601682184537
STARLINK-6076,STARLINK-3861,10408.57169803752
STARLINK-6076,STARLINK-4102,10621.369104448399
STARLINK-6076,STARLINK-5663,4056.711112440235
STARLINK-6076,STARLINK-5067,3244.4978004306263
STARLINK-6076,STARLINK-6256,479.93214948660307
STARLINK-6076,STARLINK-6118,2501.5695970529296
STARLINK-6076,STARLINK-6099,3508.2536486091853
STARLINK-6076,STARLINK-6134,3440.9990237334314
STARLINK-6076,STARLINK-30350,672.8848807351991
STARLINK-6076,STARLINK-30854,2009.8245933176734
STARLINK-6076,STARLINK-30887,10376.531833485202
STARLINK-6076,STARLINK-31095,1875.2455071678178
STARLINK-6076,STARLINK-31478,2855.9591607910347
STARLINK-6076,STARLINK-31503,1529.008114105821
STARLINK-6076,STARLINK-31487,4135.592254664601
STARLINK-6076,STARLINK-31282,5142.360285777653
STARLINK-6076,FLOCK,11073.802276767705
STARLINK-6076,ONEWEB-0706,13288.975682483644
STARLINK-6076,STARLINK-11429,10384.684229744813
STARLINK-6076,STARLINK-33560,1026.7667764451974
STARLINK-6076,FLOCK,10721.286309286732
STARLINK-6076,STARLINK-11417,780.8382543983106
STARLINK-6076,STARLINK-11571,1910.1290752097366
STARLINK-6076,STARLINK-11347,571.4704887300541
STARLINK-6076,STARLINK-33825,11142.791639683242
STARLINK-6256,COSMOS,9437.652592319686
STARLINK-6256,SS,8105.124985276279
STARLINK-6256,METEOR,7049.479613368272
STARLINK-6256,COSMOS,5722.637340652712
STARLINK-6256,COSMOS,9744.904367432717
STARLINK-6256,COSMOS,1608.5889621379877
STARLINK-6256,REX,12127.475132368816
STARLINK-6256,S6,2769.3687393259615
STARLINK-6256,STARLINK-2123,10681.540536396438
STARLINK-6256,STARLINK-3861,10524.876755428168
STARLINK-6256,STARLINK-4102,10760.376914626426
