Satellite 1,Satellite 2,Distance
COSMOS,OV1-4,2580.4266858937976
COSMOS,OAO,10097.577506839663
COSMOS,FORMOSAT,5171.0529878177695
COSMOS,GLOBALSTAR,5592.248647394257
COSMOS,STARLINK-1143,8569.911328881895
COSMOS,STARLINK-1403,9856.35625066506
COSMOS,STARLINK-1676,11068.551528869155
COSMOS,STARLINK-2405,9307.316935789042
COSMOS,STARLINK-2642,10599.30212774478
COSMOS,ONEWEB-0388,11072.09392882369
COSMOS,HAWK-4C,5701.55474777431
COSMOS,STARLINK-4026,9441.444673982738
COSMOS,STARLINK-4188,9767.454589955742
COSMOS,STARLINK-4168,9166.335614845082
COSMOS,STARLINK-4212,8800.688216351195
COSMOS,ONEWEB-0506,10988.198972527434
COSMOS,ASTROCAST-0403,8471.790931410267
COSMOS,STARLINK-5653,9011.68101242259
COSMOS,STARLINK-5624,7507.671636580149
COSMOS,STARLINK-5469,7605.120622117285
COSMOS,STARLINK-5980,11409.423689123962
COSMOS,STARLINK-6040,7953.241078819453
COSMOS,STARLINK-6059,8646.480124317164
COSMOS,STARLING,7408.286748855442
COSMOS,STARLINK-30360,9412.778712418616
COSMOS,STARLINK-30444,8306.596299139468
COSMOS,STARLINK-30445,9295.857655133037
COSMOS,STARLINK-31099,9304.213050869317
COSMOS,STARLINK-31514,7604.0839887624925
COSMOS,STARLINK-31496,6876.483072574511
COSMOS,STARLINK-31477,8409.724110486559
COSMOS,STARLINK-32201,10264.53543570243
COSMOS,KORSAT-2,8757.904143269503
COSMOS,STARLINK-33736,10407.290542671544
COSMOS,STARLINK-33763,9207.254653253702
OV1-4,COSMOS,2580.4266858937976
OV1-4,OAO,10513.148851005912
OV1-4,COSMOS,8474.406913988974
OV1-4,COSMOS,9410.719355009896
OV1-4,FORMOSAT,5340.139511334742
OV1-4,GLOBALSTAR,6006.441266753659
OV1-4,STARLINK-1143,9298.239918324505
OV1-4,STARLINK-1403,9791.439277562185
OV1-4,STARLINK-1676,11182.58508914888
OV1-4,STARLINK-2405,10587.777158493214
OV1-4,STARLINK-2642,11313.683462442552
OV1-4,ONEWEB-0388,11662.835565671287
OV1-4,HAWK-4C,6294.086439318586
OV1-4,STARLINK-4026,10709.969925115056
OV1-4,STARLINK-4188,9711.539558953866
OV1-4,STARLINK-4168,9072.282118272391
