Satellite 1,Satellite 2,Distance
DODECAPOLE,COSMOS,13662.348587808641
DODECAPOLE,INTERCOSMOS,11204.260572147603
DODECAPOLE,COSMOS,12498.64688780792
DODECAPOLE,COSMOS,12233.466923200358
DODECAPOLE,OSCAR,10855.455619207978
DODECAPOLE,COSMOS,4420.193302650732
DODECAPOLE,COSMOS,13181.391860305055
DODECAPOLE,COSMOS,2629.063535583403
DODECAPOLE,COSMOS,2249.7265889296427
DODECAPOLE,GLOBALSTAR,6554.2118094114285
DODECAPOLE,FUSE,5329.574723149822
DODECAPOLE,FORMOSAT,13179.972083073564
DODECAPOLE,SAUDICOMSAT,2139.9331703722714
DODECAPOLE,YAOGAN,8672.69861035873
DODECAPOLE,APRIZESAT,9281.61834017386
DODECAPOLE,HINCUBE,7092.012544288795
DODECAPOLE,AEROCUBE,7009.256902399641
DODECAPOLE,M3MSAT,12340.356027485519
DODECAPOLE,SKYSAT,13636.404245065129
DODECAPOLE,STARLINK-1478,12415.099142463843
DODECAPOLE,STARLINK-1566,7515.691517495758
DODECAPOLE,STARLINK-1601,12527.624476501109
DODECAPOLE,ONEWEB-0271,14063.822076599756
DODECAPOLE,STARLINK-3172,12639.87788242515
DODECAPOLE,STARLINK-3506,12549.839692892054
DODECAPOLE,STARLINK-3761,13260.639149105367
DODECAPOLE,STARLINK-3880,12210.993349561
DODECAPOLE,STARLINK-4757,12583.336188907784
DODECAPOLE,STARLINK-4764,12603.728546641274
DODECAPOLE,STARLINK-5059,12524.119299169568
DODECAPOLE,STARLINK-5015,12487.36206171111
DODECAPOLE,STARLINK-5209,12543.059573649398
DODECAPOLE,ONEWEB-0492,14340.874235322792
DODECAPOLE,ONEWEB-0535,14190.38545357285
DODECAPOLE,STARLINK-5315,332.31277550450494
DODECAPOLE,STARLINK-5257,684.0831364940757
DODECAPOLE,STARLINK-5668,2461.633263401718
DODECAPOLE,STARLINK-5644,2638.6980621806047
DODECAPOLE,STARLINK-5683,2983.4694208888764
DODECAPOLE,ONEWEB-0649,14308.629889883045
DODECAPOLE,STARLINK-30083,5966.91383257817
DODECAPOLE,STARLINK-30089,5727.968559707613
DODECAPOLE,STARLINK-6305,4834.579356059606
DODECAPOLE,STARLINK-6277,5694.294160555833
DODECAPOLE,STARLINK-6260,5475.903218180737
DODECAPOLE,STARLINK-5526,1168.1027767949583
DODECAPOLE,STARLINK-5775,5862.507613036213
DODECAPOLE,STARLINK-5961,3753.2821928298663
DODECAPOLE,STARLINK-5966,3858.863658336426
DODECAPOLE,STARLINK-5958,3896.6769826475743
DODECAPOLE,LEMUR,11433.847192504063
DODECAPOLE,STARLINK-30177,12854.588422390256
DODECAPOLE,YAOGAN-36,5888.189456177325
DODECAPOLE,YAOGAN-36,11759.972780494583
DODECAPOLE,STARLINK-30424,12519.82892518868
DODECAPOLE,STARLINK-30488,3120.617640351631
DODECAPOLE,STARLINK-30710,12879.183063093704
DODECAPOLE,STARLINK-30534,3818.336925956388
DODECAPOLE,STARLINK-30497,3957.2598122547374
DODECAPOLE,STARLINK-30480,3224.1176706305305
DODECAPOLE,STARLINK-30513,4923.226002961698
DODECAPOLE,STARLINK-30844,5035.456527181028
DODECAPOLE,STARLINK-30876,4557.649187234894
DODECAPOLE,STARLINK-30990,4803.339805545718
DODECAPOLE,STARLINK-31059,3674.360949059204
DODECAPOLE,STARLINK-31187,6049.754998338957
DODECAPOLE,STARLINK-31238,3468.135951374228
DODECAPOLE,RROCI-2,13292.079468498196
DODECAPOLE,STARLINK-31689,11756.027474478436
DODECAPOLE,STARLINK-31471,3284.219492686792
DODECAPOLE,STARLINK-31510,3552.5793408106165
DODECAPOLE,STARLINK-31662,3614.854595279473
DODECAPOLE,STARLINK-31781,5571.743970116482
DODECAPOLE,STARLINK-31787,6295.562695559502
DODECAPOLE,STARLINK-31857,3468.162624294182
DODECAPOLE,STARLINK-31976,5385.617625111589
DODECAPOLE,EARTHCARE,12856.271550098523
DODECAPOLE,STARLINK-31980,13095.241552711328
DODECAPOLE,STARLINK-11167,12286.152370954547
DODECAPOLE,R5-S2,13626.002140402092
DODECAPOLE,STARLINK-32179,12520.894982520354
DODECAPOLE,STARLINK-11294,12070.273202569484
DODECAPOLE,STARLINK-32540,13229.187315391975
DODECAPOLE,STARLINK-32330,3043.5293144170255
DODECAPOLE,STARLINK-32532,6279.536512520845
DODECAPOLE,STARLINK-32734,3551.594904004554
DODECAPOLE,STARLINK-32917,5645.633273403905
DODECAPOLE,STARLINK-11418,5358.876477885685
DODECAPOLE,STARLINK-33613,5893.718682996183
COSMOS,DODECAPOLE,13662.348587808641
COSMOS,INTERCOSMOS,6418.5326214710985
COSMOS,OSCAR,5183.324057475234
COSMOS,GLOBALSTAR,10123.728592793288
COSMOS,FUSE,12009.888534995045
COSMOS,FORMOSAT,6212.276430486075
COSMOS,SAUDICOMSAT,13691.970322220086
COSMOS,YAOGAN,10597.258434695437
COSMOS,APRIZESAT,8141.074656755484
COSMOS,HINCUBE,9151.805345648752
COSMOS,AEROCUBE,9701.022794787557
COSMOS,M3MSAT,4043.044945276012
COSMOS,SKYSAT,3155.1376904718554
COSMOS,STARLINK-1478,5034.7667512613
COSMOS,STARLINK-1566,9971.164756732629
COSMOS,STARLINK-1601,6226.545170584374
COSMOS,ONEWEB-0271,5034.857296873881
COSMOS,STARLINK-3172,6687.121064844757
