Satellite 1,Satellite 2,Distance
OPS,SS,8943.816509529317
OPS,COSMOS,6240.954159396521
OPS,COSMOS,8621.417175173217
OPS,USA,10415.361378484502
OPS,USA,8738.194544998141
OPS,ORBCOMM,9828.481159846906
OPS,YAOGAN,9476.990402226
OPS,STARLINK-1598,8521.410549232016
OPS,STARLINK-2336,8299.112589674469
OPS,STARLINK-2449,8245.204894993645
OPS,ONEWEB-0209,9669.764024987087
OPS,ONEWEB-0192,9715.54359162884
OPS,ONEWEB-0220,9917.840228787796
OPS,STARLINK-2582,8276.908233863658
OPS,ONEWEB-0371,9718.376660349739
OPS,STARLINK-3311,8731.780280564537
OPS,STARLINK-3728,9441.52027441162
OPS,STARLINK-4000,8547.300129576219
OPS,STARLINK-4062,8703.737493991457
OPS,STARLINK-4175,8975.937634701746
OPS,STARLINK-4718,8555.003032421224
OPS,STARLINK-4767,8498.411876685024
OPS,ONEWEB-0508,9353.246788401259
OPS,ONEWEB-0652,9775.907576373287
OPS,ONEWEB-0673,9658.34823094342
OPS,STARLINK-6113,8282.387535752005
OPS,STARLINK-6094,7966.585968536701
OPS,STARLINK-6031,9200.112337133176
OPS,LEMUR,9894.352499923989
OPS,LEMUR,9238.574598719933
OPS,STARLINK-30439,8589.033904755259
OPS,STARLINK-30474,9241.695053618258
OPS,STARLINK-30479,9410.594073674692
OPS,STARLINK-30559,9719.737884098342
OPS,STARLINK-30866,8248.916940072584
OPS,STARLINK-30877,9103.75210052725
OPS,STARLINK-30899,8046.030088931972
OPS,STARLINK-31237,9288.899929183897
OPS,STARLINK-31200,9779.87835799312
OPS,STARLINK-31149,8713.257374512805
OPS,STARLINK-31278,8111.845841995042
OPS,STARLINK-31602,9365.234882594948
OPS,STARLINK-31695,8257.418189926602
OPS,STARLINK-31680,8534.380214911887
OPS,STARLINK-31766,10062.016729888906
OPS,STARLINK-32236,8637.030458433903
OPS,STARLINK-11309,6782.556700105131
OPS,STARLINK-32139,8238.05030017121
OPS,STARLINK-32466,10099.702182540255
OPS,STARLINK-32311,8460.91606317174
OPS,STARLINK-11420,10741.818350669988
OPS,PUNCH-WFI02,7775.259974819188
OPS,STARLINK-33669,7996.268651412946
OPS,STARLINK-33747,10238.89133110161
OPS,STARLINK-33799,8689.809845878362
OPS,STARLINK-33630,7398.7526593313205
OPS,STARLINK-33534,9122.53921048421
OPS,STARLINK-33809,8394.801220508229
OPS,STARLINK-11606,8467.301041938745
SS,OPS,8943.816509529317
SS,COSMOS,8480.14306816812
SS,COSMOS,6497.899427016338
SS,USA,5627.918863501467
SS,USA,7537.751802357056
SS,ORBCOMM,5919.374780103116
SS,YAOGAN,5634.462763142339
SS,STARLINK-1598,7247.277759514706
SS,STARLINK-2336,7293.160820187655
SS,STARLINK-2449,3883.169059254563
SS,ONEWEB-0209,6029.727375679624
SS,ONEWEB-0192,6035.519342112755
SS,ONEWEB-0220,5829.670487580071
SS,STARLINK-2582,7744.572506957505
SS,ONEWEB-0371,6025.03188214668
SS,STARLINK-3311,3761.5495864566233
SS,STARLINK-3728,5143.740940948806
SS,STARLINK-4000,7426.200573424911
SS,STARLINK-4062,4321.2951861354295
SS,STARLINK-4175,3675.4208835016616
SS,STARLINK-4718,7434.501364336282
SS,STARLINK-4767,7267.36278022094
SS,ONEWEB-0508,6046.63629249037
SS,ONEWEB-0652,5983.488133946851
SS,ONEWEB-0673,6006.02845541579
SS,STARLINK-6113,7845.006995957034
SS,STARLINK-6094,7980.755449501697
SS,STARLINK-6031,9603.849175308658
SS,LEMUR,1929.2633768808153
SS,LEMUR,2344.473675577204
SS,STARLINK-30439,7517.294235970221
SS,STARLINK-30474,7796.426499251358
SS,STARLINK-30479,8268.19675038183
SS,STARLINK-30559,4848.090202197833
SS,STARLINK-30866,7600.14352062868
SS,STARLINK-30877,7393.873082475024
SS,STARLINK-30899,10540.575262437822
SS,STARLINK-31237,8272.610562049787
SS,STARLINK-31200,8083.616828754001
SS,STARLINK-31149,7214.923100558928
SS,STARLINK-31278,6307.544882396473
SS,STARLINK-31602,4472.3881366997475
SS,STARLINK-31695,7243.587474940882
SS,STARLINK-31680,7441.246769655463
SS,STARLINK-31766,4330.435947219353
SS,STARLINK-32236,7327.085855673151
SS,STARLINK-11309,6741.336858499774
SS,STARLINK-32139,3681.960194579489
SS,STARLINK-32466,7856.504055947634
SS,STARLINK-32311,7675.673816431439
SS,STARLINK-11420,7765.983479814879
SS,PUNCH-WFI02,9475.154437442761
SS,STARLINK-33669,7693.631130666105
SS,STARLINK-33747,4803.58879077844
SS,STARLINK-33799,4433.853872607888
SS,STARLINK-33630,4077.614309399102
SS,STARLINK-33534,7188.79976363423
SS,STARLINK-33809,3573.338290217851
SS,STARLINK-11606,6012.700305762808
COSMOS,OPS,6240.954159396521
COSMOS,SS,8480.14306816812
COSMOS,USA,12588.887478535218
COSMOS,USA,12171.76089578312
COSMOS,ORBCOMM,5300.268698928371
COSMOS,YAOGAN,10267.541379867684
COSMOS,STARLINK-1598,11801.096606552157
COSMOS,STARLINK-2336,11704.70435315066
COSMOS,STARLINK-2449,10363.65002538899
COSMOS,ONEWEB-0209,12591.61171758483
COSMOS,ONEWEB-0192,12624.497106551984
COSMOS,ONEWEB-0220,12629.628960926808
COSMOS,STARLINK-2582,2966.8480223612996
COSMOS,ONEWEB-0371,12617.937217183882
COSMOS,STARLINK-3311,10685.354343910636
COSMOS,STARLINK-3728,11471.868561241674
COSMOS,STARLINK-4000,11881.332929079608
COSMOS,STARLINK-4062,10876.715552415646
