Satellite 1,Satellite 2,Distance
OPS,METEOR,9280.814789342321
OPS,COSMOS,9703.69962408694
OPS,GEO,9020.785114094848
OPS,ORBCOMM,7546.484473744483
OPS,COSMOS,9065.37834859538
OPS,STARS,10842.134955898307
OPS,GLOBALSTAR,1584.9811826593161
OPS,SOCRATES,6689.960668409379
OPS,ORBCOMM,11369.21507027867
OPS,STARLINK-1047,7846.794767988768
OPS,CHEOPS,6670.825024187639
OPS,STARLINK-1159,9698.976691085008
OPS,STARLINK-1171,9152.339233562874
OPS,ONEWEB-0013,6232.677518843652
OPS,ONEWEB-0048,8055.795724437066
OPS,STARLINK-1433,3669.458300486565
OPS,STARLINK-1856,9709.46913697013
OPS,STARLINK-2417,5277.303639254478
OPS,ONEWEB-0189,7371.431369453891
OPS,ONEWEB-0204,7372.151297589247
OPS,STARLINK-2675,6476.8556011430255
OPS,ONEWEB-0369,7331.268754625739
OPS,ONEWEB-0380,7539.453889391858
OPS,STARLINK-3358,9879.324607844124
OPS,STARLINK-3649,4826.139100540101
OPS,STARLINK-3874,5767.502648877873
OPS,STARLINK-3799,5981.806613336012
OPS,STARLINK-3860,4363.738569169612
OPS,STARLINK-4058,6285.848033893119
OPS,STARLINK-4162,5683.823712180664
OPS,STARLINK-4166,5626.436917246386
OPS,STARLINK-4435,6287.952139820157
OPS,STARLINK-4719,9561.106538971073
OPS,STARLINK-4779,9823.86874034506
OPS,STARLINK-5000,9116.532409094849
OPS,STARLINK-5491,8544.572327451162
OPS,STARLINK-5598,11875.987776983098
OPS,STARLINK-5069,10192.037621723672
OPS,STARLINK-5487,10265.429399513072
OPS,ONEWEB-0638,7195.491198699092
OPS,STARLINK-5969,12233.850120459485
OPS,STARLINK-5803,12078.193749385748
OPS,STARLINK-5907,12041.824449222268
OPS,TROPICS-06,6462.270106670521
OPS,STARLING,6670.210190558381
OPS,STARLINK-30460,8753.256408038755
OPS,STARLINK-30612,7163.426070580887
OPS,STARLINK-30823,8324.417159832727
OPS,STARLINK-30894,4560.12236103864
OPS,STARLINK-30919,12355.536160895064
OPS,STARLINK-30959,12028.943675541768
OPS,STARLINK-31047,2816.7105533567105
OPS,STARLINK-31275,8151.599381888435
OPS,STARLINK-31409,7162.383733750759
OPS,STARLINK-31715,8725.430958854378
OPS,STARLINK-11292,8844.245320172424
OPS,STARLINK-31837,4866.648095773937
OPS,STARLINK-32358,4684.759230555732
OPS,ONEWEB-0704,8819.045939528438
OPS,STARLINK-32461,7852.531991204141
OPS,STARLINK-32855,6637.190334918175
OPS,STARLINK-11458,7879.969152917703
OPS,STARLINK-33665,6098.618307247362
OPS,STARLINK-33833,616.2403904215736
OPS,STARLINK-33583,6659.115156951589
OPS,STARLINK-33792,5582.222252022609
OPS,STARLINK-33796,6105.024052214937
METEOR,OPS,9280.814789342321
METEOR,COSMOS,11422.462006688029
METEOR,GEO,4659.8404879050195
METEOR,ORBCOMM,9157.045303691562
METEOR,COSMOS,11202.315581270766
METEOR,STARS,10361.157940231966
METEOR,GLOBALSTAR,9820.50139336664
METEOR,SOCRATES,6635.7651658585255
METEOR,ORBCOMM,8043.424322802327
METEOR,STARLINK-1047,3655.4545377654454
METEOR,CHEOPS,9420.199722390196
METEOR,STARLINK-1159,5000.597042552224
METEOR,STARLINK-1171,5341.838764522126
METEOR,ONEWEB-0013,7486.016158522879
METEOR,ONEWEB-0048,6390.082968777426
METEOR,STARLINK-1433,7967.454301189398
METEOR,STARLINK-1856,5023.6710599169
METEOR,STARLINK-2417,5812.993064235275
METEOR,ONEWEB-0189,6788.653853990709
METEOR,ONEWEB-0204,6819.924017775677
METEOR,STARLINK-2675,4717.617536396302
METEOR,ONEWEB-0369,6877.957612124113
METEOR,ONEWEB-0380,6569.975334048445
METEOR,STARLINK-3358,4935.566689156493
METEOR,STARLINK-3649,7883.120890688849
METEOR,STARLINK-3874,5857.865348610173
METEOR,STARLINK-3799,5109.540710845961
METEOR,STARLINK-3860,6821.206340624209
METEOR,STARLINK-4058,5203.939137800914
METEOR,STARLINK-4162,5473.814773543064
METEOR,STARLINK-4166,5645.386688214009
METEOR,STARLINK-4435,6780.899833535267
METEOR,STARLINK-4719,4941.470700737895
METEOR,STARLINK-4779,4962.071728189741
METEOR,STARLINK-5000,5223.590359717708
METEOR,STARLINK-5491,8784.246205804371
METEOR,STARLINK-5598,9802.784932083996
METEOR,STARLINK-5069,10832.757389854158
METEOR,STARLINK-5487,10415.79814786995
METEOR,ONEWEB-0638,7294.723470191893
METEOR,STARLINK-5969,8503.544366427106
METEOR,STARLINK-5803,8505.570710977501
METEOR,STARLINK-5907,8480.359044968622
METEOR,TROPICS-06,9283.767337765412
METEOR,STARLING,4202.068275205732
METEOR,STARLINK-30460,8583.315292850833
METEOR,STARLINK-30612,4355.839462349305
METEOR,STARLINK-30823,9182.524183326825
METEOR,STARLINK-30894,7559.061375463517
METEOR,STARLINK-30919,8428.981893740714
METEOR,STARLINK-30959,8364.936418019053
METEOR,STARLINK-31047,8484.698946509121
METEOR,STARLINK-31275,10519.47727342043
METEOR,STARLINK-31409,10725.50779349392
METEOR,STARLINK-31715,5439.0629212316235
METEOR,STARLINK-11292,5200.439625293683
METEOR,STARLINK-31837,6260.960671126951
METEOR,STARLINK-32358,6630.336244793089
METEOR,ONEWEB-0704,5857.119302405644
METEOR,STARLINK-32461,3497.0381178795947
METEOR,STARLINK-32855,6259.652575809601
METEOR,STARLINK-11458,10798.790948219154
METEOR,STARLINK-33665,10430.000657438424
METEOR,STARLINK-33833,9535.634167835025
METEOR,STARLINK-33583,4416.613089607455
METEOR,STARLINK-33792,5536.654398509232
METEOR,STARLINK-33796,4930.218424400598
COSMOS,OPS,9703.69962408694
COSMOS,METEOR,11422.462006688029
COSMOS,GEO,12860.048895664748
COSMOS,ORBCOMM,2782.5713737432197
COSMOS,STARS,2819.692440856111
COSMOS,GLOBALSTAR,9413.540999090541
COSMOS,SOCRATES,13953.432773568653
COSMOS,ORBCOMM,8391.789539441312
COSMOS,STARLINK-1047,12983.704361620154
COSMOS,CHEOPS,12817.28408227264
COSMOS,STARLINK-1159,14175.442580493387
COSMOS,STARLINK-1171,13928.411024515659
COSMOS,ONEWEB-0013,14282.115099056608
COSMOS,ONEWEB-0048,14806.724445267095
COSMOS,STARLINK-1433,12252.498893712214
COSMOS,STARLINK-1856,14177.955248736367
COSMOS,STARLINK-2417,12402.642363659426
COSMOS,ONEWEB-0189,14649.075199950357
COSMOS,ONEWEB-0204,14658.079256493313
COSMOS,STARLINK-2675,12695.442804304084
COSMOS,ONEWEB-0369,14644.5625544082
COSMOS,ONEWEB-0380,14633.470048367597
COSMOS,STARLINK-3358,14206.012775066763
COSMOS,STARLINK-3649,12569.461319798404
COSMOS,STARLINK-3874,12570.53118074385
COSMOS,STARLINK-3799,12546.535186619973
COSMOS,STARLINK-3860,12204.367511837201
COSMOS,STARLINK-4058,12680.97883638928
COSMOS,STARLINK-4162,12492.860328097551
COSMOS,STARLINK-4166,12503.059721351363
COSMOS,STARLINK-4435,13814.991857009374
COSMOS,STARLINK-4719,14095.098564890526
COSMOS,STARLINK-4779,14221.629942949843
COSMOS,STARLINK-5000,13913.517001807604
COSMOS,STARLINK-5491,2654.8557020341555
COSMOS,STARLINK-5598,5395.735969592744
COSMOS,STARLINK-5069,2648.325102329934
COSMOS,STARLINK-5487,2420.5236388815542
COSMOS,ONEWEB-0638,14582.424568005186
COSMOS,STARLINK-5969,7948.096803457526
COSMOS,STARLINK-5803,7798.983214444424
COSMOS,STARLINK-5907,7707.555220701585
COSMOS,TROPICS-06,3297.3674788058934
COSMOS,STARLING,7471.4827562447035
COSMOS,STARLINK-30460,2945.738267980228
COSMOS,STARLINK-30612,12882.981926168912
COSMOS,STARLINK-30823,2499.723846711979
COSMOS,STARLINK-30894,12388.712676089272
COSMOS,STARLINK-30919,8100.600415546362
COSMOS,STARLINK-30959,7667.304262392068
COSMOS,STARLINK-31047,11843.715801302287
COSMOS,STARLINK-31275,3497.287336614248
COSMOS,STARLINK-31409,2980.034926104807
COSMOS,STARLINK-31715,13631.546741349779
COSMOS,STARLINK-11292,13679.709070907382
COSMOS,STARLINK-31837,12248.908790033554
COSMOS,STARLINK-32358,12235.20676949043
COSMOS,ONEWEB-0704,14861.099606604608
COSMOS,STARLINK-32461,13054.140431804117
COSMOS,STARLINK-32855,12908.56728394187
COSMOS,STARLINK-11458,3569.936684174968
COSMOS,STARLINK-33665,4563.892708443574
COSMOS,STARLINK-33833,9273.892455049538
COSMOS,STARLINK-33583,12692.818815000719
