Satellite 1,Satellite 2,Distance
COURIER,COSMOS,3582.0938417338216
COURIER,TIROS,5083.634960016759
COURIER,OPS,11495.752349084276
COURIER,COSMOS,12574.083699726396
COURIER,COSMOS,7557.620446764708
COURIER,OPS,7310.1806213481805
COURIER,COSMOS,11657.884535213552
COURIER,COSMOS,11187.548640819341
COURIER,COSMOS,11241.57359628081
COURIER,OPS,7595.297816873659
COURIER,COSMOS,4900.950399194718
COURIER,COSMOS,3818.7003792140763
COURIER,COSMOS,7786.305962851542
COURIER,COSMOS,9588.619376208977
COURIER,COSMOS,5792.9882712303015
COURIER,COSMOS,7041.862806338737
COURIER,COSMOS,9326.892775679187
COURIER,GLOBALSTAR,4914.972561047347
COURIER,PICOSAT,5626.824580889272
COURIER,SIMSAT,6742.617456047776
COURIER,DUBAISAT,7719.558908058116
COURIER,COSMOS,10870.105011752077
COURIER,GLOBALSTAR,6647.206652103705
COURIER,UNISAT,11425.383700519438
COURIER,BRITE-PL,2579.5570539781215
COURIER,FUNCUBE,9424.724066421602
COURIER,IRIDIUM,6329.40736858099
COURIER,STARLINK-1067,7896.630200485926
COURIER,STARLINK-1325,8522.432505153902
COURIER,STARLINK-1554,2978.210446694643
COURIER,TYVAK-0172,5273.404085466581
COURIER,STARLINK-2084,3717.142054901197
COURIER,STARLINK-2119,3935.828501499727
COURIER,STARLINK-2036,3653.096824100083
COURIER,STARLINK-2039,3175.95817012276
COURIER,ONEWEB-0116,7169.409928117267
COURIER,ONEWEB-0158,6798.924906006921
COURIER,ONEWEB-0163,7593.726944458403
COURIER,ONEWEB-0167,7278.897590587341
COURIER,STARLINK-2501,2841.6134831167346
COURIER,STARLINK-2234,2820.508371814175
COURIER,STARLINK-2756,2893.3507475450792
COURIER,ONEWEB-0339,7412.435801238253
COURIER,STARLINK-3456,9183.839777424057
COURIER,STARLINK-3729,3138.4220037928067
COURIER,STARLINK-3723,3590.672006391792
COURIER,STARLINK-3775,2675.3081622803857
COURIER,STARLINK-3742,2628.0164195533903
COURIER,STARLINK-3828,3261.3812296357596
COURIER,STARLINK-4097,7445.2552059542095
COURIER,STARLINK-4532,2626.5411840069546
COURIER,STARLINK-4498,2889.3337473656143
COURIER,STARLINK-4138,3433.639751909473
COURIER,STARLINK-4120,3664.193477025299
COURIER,STARLINK-4501,3414.2894489748005
COURIER,STARLINK-4506,3639.8349191919315
COURIER,STARLINK-4551,3825.495211357576
COURIER,STARLINK-5145,7512.587654468652
COURIER,STARLINK-5099,7081.852735506747
COURIER,STARLINK-5200,8643.124781900078
COURIER,ONEWEB-0509,7038.059104502326
COURIER,STARLINK-5657,9688.753408495635
COURIER,STARLINK-5661,9449.87453802877
COURIER,STARLINK-5804,10503.201524782082
COURIER,STARLINK-5928,10206.326454345912
COURIER,STARLINK-6145,8114.541620885162
COURIER,STARLINK-6301,8040.781306456604
COURIER,STARLINK-5136,8318.27521071346
COURIER,STARLINK-5350,8111.9684457361855
COURIER,STARLINK-6263,7894.971950602209
COURIER,IRIDIUM,6241.505217601037
COURIER,STARLINK-5965,12049.640799116247
COURIER,ICEYE-X30,6387.156242041936
COURIER,BLACKJACK,6579.128593305325
COURIER,GHOST-3,7739.647244722725
COURIER,STARLINK-30233,8078.579811270299
COURIER,STARLINK-30305,7879.72582297183
COURIER,STARLINK-30539,12097.73998521474
COURIER,STARLINK-30605,6181.389399910277
COURIER,STARLINK-30839,7953.820515195432
COURIER,STARLINK-30933,11018.301115461954
COURIER,STARLINK-30947,12377.922957535095
COURIER,STARLINK-31049,2682.974627231758
COURIER,STARLINK-31114,4930.891167050859
COURIER,STARLINK-31235,11880.372596869389
COURIER,LYNK,5021.136959586093
COURIER,STARLINK-31494,8032.979883651925
COURIER,STARLINK-31598,8024.701383667941
COURIER,STARLINK-31557,10916.67744765937
COURIER,STARLINK-31537,10499.546477775555
COURIER,STARLINK-31802,8042.956148494517
COURIER,STARLINK-31800,7967.894920437057
COURIER,STARLINK-31826,9029.39922997014
COURIER,STARLINK-31830,3817.238435341074
COURIER,STARLINK-31940,9875.074225998416
COURIER,STARLINK-31951,8146.068766691693
COURIER,STARLINK-31986,2705.242754489476
COURIER,STARLINK-32017,2621.378538040651
COURIER,STARLINK-32168,2714.347826984424
COURIER,STARLINK-32282,2532.0925328897674
COURIER,STARLINK-11286,3914.750790476486
COURIER,STARLINK-32422,2739.2970290538433
COURIER,STARLINK-32496,9344.962097620011
COURIER,STARLINK-32521,7946.287550798933
COURIER,STARLINK-32628,7991.060393045688
COURIER,STARLINK-32554,2981.6499355074334
COURIER,STARLINK-32570,8564.212981645196
COURIER,COSMOS,10298.025176627732
COURIER,STARLINK-11441,4913.320127239736
COURIER,STARLINK-11447,10401.498118106025
COURIER,STARLINK-11528,7837.912663255234
COURIER,STARLINK-32762,7896.302265307558
COURIER,STARLINK-32761,7931.3634110230305
COURIER,STARLINK-32825,5762.080681798476
COURIER,STARLINK-32891,8025.7183866805835
COURIER,STARLINK-33620,8000.355240072501
COURIER,TIANPING-3A02,8784.140004299907
COURIER,STARLINK-33687,8987.04709082041
COURIER,KUIPER-00018,9336.598551136522
COURIER,STARLINK-33912,3623.9285210322087
COURIER,STARLINK-34064,3521.838462900236
COSMOS,COURIER,3582.0938417338216
COSMOS,TIROS,3900.000191285539
COSMOS,OPS,10642.22571934609
