Satellite 1,Satellite 2,Distance
COSMOS,OPS,10073.300236155925
COSMOS,OPS,11496.96205957517
COSMOS,METEOR,3955.3728945052167
COSMOS,RADIO,4326.740076435524
COSMOS,OSCAR,9073.648390653283
COSMOS,SPOT,1196.550457278347
COSMOS,OSCAR,5320.867462988284
COSMOS,SURFSAT,11112.242349869559
COSMOS,IRIDIUM,3813.512285684865
COSMOS,IRIDIUM,3735.439358387339
COSMOS,TMSAT,5118.097331263684
COSMOS,SAFIR,3918.139496937945
COSMOS,KITSAT,11458.928116973058
COSMOS,HAIYANG,4461.45499469591
COSMOS,AEROCUBE,8005.8097105745455
COSMOS,TATIANA,10287.046496362842
COSMOS,VELOX-P,3904.366853314078
COSMOS,TELEOS,8466.841608170604
COSMOS,YAOGAN-30,5927.559429606861
COSMOS,SONATE,9607.368973759627
COSMOS,STARLINK-1080,2922.603492539569
COSMOS,STARLINK-1329,4993.966705288937
COSMOS,STARLINK-1337,5146.082962824256
COSMOS,STARLINK-1364,4343.2277040418585
COSMOS,STARLINK-1443,3353.1841829849714
COSMOS,STARLINK-1543,5193.230442041747
COSMOS,STARLINK-1835,3143.996542670529
COSMOS,STARLINK-2050,4373.685115996417
COSMOS,STARLINK-2193,4848.782216562246
COSMOS,ONEWEB-0162,4028.4549586046433
COSMOS,ONEWEB-0173,4118.290128300494
COSMOS,STARLINK-2742,4676.08125770763
COSMOS,ONEWEB-0318,4045.9323743928594
COSMOS,STARLINK-3084,11401.139293948905
COSMOS,STARLINK-3457,3034.848625489083
COSMOS,STARLINK-3720,4712.351484314619
COSMOS,GLOBAL-18,9390.01599992273
COSMOS,STARLINK-3780,5476.519116028956
COSMOS,STARLINK-3873,4520.768459177027
COSMOS,STARLINK-3910,5430.130720668769
COSMOS,PVSAT,4455.508518441048
COSMOS,STARLINK-4531,5223.98637167963
COSMOS,STARLINK-4557,5421.9205317946435
COSMOS,STARLINK-4519,5352.531507491799
COSMOS,STARLINK-4483,4360.550807400431
COSMOS,STARLINK-4493,5007.418586263508
COSMOS,STARLINK-4504,3636.476634759343
COSMOS,STARLINK-5037,2687.203786210528
COSMOS,STARLINK-5023,2613.0630698198643
COSMOS,STARLINK-5171,3816.5893163215856
COSMOS,ONEWEB-0544,4135.998855788747
COSMOS,STARLINK-5671,9872.437271632492
COSMOS,STARLINK-5711,10061.494319044383
COSMOS,STARLINK-5705,9838.20868512587
COSMOS,STARLINK-6153,10320.737939393373
COSMOS,STARLINK-5923,10888.156523422282
COSMOS,STARLINK-6255,10487.78056431124
COSMOS,STARLINK-5853,9291.213182704136
COSMOS,STARLINK-6186,10005.958920917416
COSMOS,STARLINK-5950,9836.539611675584
COSMOS,STARLINK-30236,10589.056774840064
COSMOS,STARLINK-30187,10175.38615361525
COSMOS,STARLINK-30174,9573.618790471599
COSMOS,STARLINK-30397,10294.897992417835
COSMOS,STARLINK-30383,10652.615856586575
COSMOS,STARLINK-30385,10175.620552306078
COSMOS,STARLINK-30387,10544.88921613539
COSMOS,XRISM,9272.123796850257
COSMOS,STARLINK-30481,10136.404226827863
COSMOS,STARLINK-30399,4651.7417412743525
COSMOS,STARLINK-30484,10147.276471982002
COSMOS,STARLINK-30535,9740.227561340205
COSMOS,STARLINK-30546,9377.122802339367
COSMOS,STARLINK-30610,9582.735137086378
COSMOS,STARLINK-30551,9819.385301601407
COSMOS,STARLINK-30846,10629.327531906036
COSMOS,STARLINK-30984,9563.833930818397
COSMOS,STARLINK-30991,9889.90293386997
COSMOS,STARLINK-31036,5342.041332450741
COSMOS,STARLINK-31050,5377.693393983216
COSMOS,STARLINK-31053,5068.818603925233
COSMOS,YAOGAN-39,9502.24499069408
COSMOS,STARLINK-31164,10484.429551563599
COSMOS,STARLINK-31223,9447.289526871713
COSMOS,STARLINK-31177,9409.148173372658
COSMOS,STARLINK-31460,5256.878518738878
COSMOS,STARLINK-31231,8949.391605751145
COSMOS,STARLINK-31207,9162.09183008885
COSMOS,STARLINK-31700,3983.902366358201
COSMOS,STARLINK-31668,9393.328519211798
COSMOS,STARLINK-31702,9796.10541680968
COSMOS,STARLINK-31807,10604.993411846679
COSMOS,STARLINK-11111,2844.6025437892163
COSMOS,STARLINK-31895,8842.286929616326
COSMOS,STARLINK-31654,9703.71156639559
COSMOS,STARLINK-31942,10269.914905196661
COSMOS,STARLINK-31811,5534.698419395744
COSMOS,STARLINK-32280,1839.5812742511666
COSMOS,STARLINK-11236,4264.873436287042
COSMOS,STARLINK-32361,10136.934178468822
COSMOS,STARLINK-11345,10329.528358859583
COSMOS,STARLINK-32245,10423.195458659293
COSMOS,STARLINK-32945,7237.594555927508
COSMOS,STARLINK-33571,5268.939407451879
COSMOS,STARLINK-11695,9988.919243484645
COSMOS,KUIPER-00020,10878.830535353132
COSMOS,STARLINK-33801,10503.205783802663
COSMOS,STARLINK-33970,7867.663757905873
OPS,COSMOS,10073.300236155925
OPS,COSMOS,11765.803848817432
OPS,METEOR,13011.953823044882
OPS,COSMOS,4071.454112339893
OPS,COSMOS,12656.961826725827
OPS,COSMOS,3021.956855698883
OPS,COSMOS,3270.7212053819067
OPS,RADIO,13730.40177325025
OPS,COSMOS,6245.3301921348175
OPS,COSMOS,5422.6623689924145
OPS,COSMOS,10806.815010865641
OPS,COSMOS,13152.294970584699
OPS,COSMOS,12354.011294151753
OPS,OSCAR,11768.234735089733
OPS,COSMOS,13085.111381541159
OPS,SPOT,10885.778451662885
OPS,COSMOS,8090.583553886192
OPS,COSMOS,11584.299195298423
OPS,OSCAR,6057.012794867992
OPS,COSMOS,4418.183636776972
OPS,SURFSAT,11256.520885090895
OPS,COSMOS,8460.237220144556
OPS,IRIDIUM,12940.785849574362
OPS,IRIDIUM,13134.909778812804
OPS,COSMOS,4748.903125966409
OPS,TMSAT,13366.16804850127
OPS,SAFIR,13291.841276034536
OPS,KITSAT,4373.6387857039435
OPS,COSMOS,4089.1368300563668
OPS,HAIYANG,12998.717364322763
OPS,AEROCUBE,10691.847766026785
OPS,TATIANA,6677.619174692917
OPS,VELOX-P,13145.016350971418
OPS,TELEOS,9708.987126286584
OPS,YAOGAN-30,10756.188146183036
OPS,SONATE,9768.05680724106
OPS,STARLINK-1080,12080.712050694328
OPS,STARLINK-1329,11840.76527492578
OPS,STARLINK-1337,11808.975484525692
OPS,STARLINK-1364,11521.78991703905
OPS,STARLINK-1443,11159.108143475642
OPS,STARLINK-1543,12013.206133695305
OPS,STARLINK-1835,12170.731888114931
OPS,STARLINK-2050,11624.256405553324
OPS,STARLINK-2193,12375.105633606825
OPS,ONEWEB-0162,13638.459979369485
OPS,ONEWEB-0173,13657.566588011687
OPS,STARLINK-2742,11664.544442529606
OPS,ONEWEB-0318,13622.493644736895
OPS,STARLINK-3084,3509.4250911932063
OPS,STARLINK-3457,12127.431395068963
OPS,STARLINK-3720,11720.32455579273
OPS,GLOBAL-18,10846.19888806603
OPS,STARLINK-3780,11709.593768615912
OPS,STARLINK-3873,11661.324127261516
OPS,STARLINK-3910,11913.808939078755
OPS,PVSAT,12127.274264584683
OPS,STARLINK-4531,11883.87234193029
OPS,STARLINK-4557,11882.929010461581
OPS,STARLINK-4519,11841.927775175884
OPS,STARLINK-4483,11578.401104551467
OPS,STARLINK-4493,11779.019744650077
OPS,STARLINK-4504,11364.704000253823
OPS,STARLINK-5037,11983.34261330228
OPS,STARLINK-5023,11959.82953787626
OPS,STARLINK-5171,12430.31656410671
OPS,ONEWEB-0544,13673.91976723253
OPS,STARLINK-5671,5296.3509555909795
OPS,STARLINK-5711,6037.662478335356
OPS,STARLINK-5705,5264.605471464924
OPS,STARLINK-6153,5027.026197172841
OPS,STARLINK-5923,3527.6295527897505
OPS,STARLINK-6255,5205.665364032214
OPS,STARLINK-5853,4530.061452235064
OPS,STARLINK-6186,6469.487841385908
OPS,STARLINK-5950,6168.220696972769
OPS,STARLINK-30236,4978.914240050589
OPS,STARLINK-30187,6411.914628296921
OPS,STARLINK-30174,5694.500040009043
OPS,STARLINK-30397,4344.9516494990485
OPS,STARLINK-30383,4826.753835631438
OPS,STARLINK-30385,3523.869471208035
OPS,STARLINK-30387,4352.9175600298595
OPS,XRISM,6355.440061240701
OPS,STARLINK-30481,5741.039408368074
OPS,STARLINK-30399,11681.649422811382
OPS,STARLINK-30484,6497.904523360803
OPS,STARLINK-30535,6033.623534553017
OPS,STARLINK-30546,4895.416411337754
OPS,STARLINK-30610,5556.475510341582
OPS,STARLINK-30551,6064.695705286637
OPS,STARLINK-30846,5054.969670038067
