Satellite 1,Satellite 2,Distance
TIROS,EXPLORER,3910.150003648244
TIROS,ESSA,10639.562183353133
TIROS,OPS,9672.420895087938
TIROS,COSMOS,4860.169610860033
TIROS,COSMOS,3992.068788748427
TIROS,COSMOS,3506.661920254073
TIROS,COSMOS,4375.256205313119
TIROS,COSMOS,8581.613033991922
TIROS,COSMOS,7721.17047274989
TIROS,COSMOS,10842.101260511547
TIROS,COSMOS,8001.409461362117
TIROS,SHIYAN,3174.3771875568286
TIROS,PRISMA,9718.874166720021
TIROS,EGYPTSAT,2719.3185192057554
TIROS,IRIDIUM,3832.0503135980507
TIROS,SHIYAN,7859.306355884806
TIROS,STARLINK-1029,4831.123716892157
TIROS,STARLINK-1246,4241.531043779561
TIROS,STARLINK-1394,4769.822456499302
TIROS,STARLINK-2093,3894.8188911881266
TIROS,STARLINK-2111,3519.3688048248637
TIROS,STARLINK-2147,1988.2326755813567
TIROS,ONEWEB-0153,3949.818137919875
TIROS,ONEWEB-0161,3853.4965961044695
TIROS,ONEWEB-0171,4008.769837135261
TIROS,STARLINK-2523,5376.887850409281
TIROS,STARLINK-2457,5297.977048377616
TIROS,STARLINK-2753,5011.973837630769
TIROS,ONEWEB-0292,3941.3037299925136
TIROS,STARLINK-3372,3738.6524262682074
TIROS,STARLINK-3389,3392.8285642397113
TIROS,STARLINK-3386,3338.95654992245
TIROS,STARLINK-3460,3336.9584150832757
TIROS,STARLINK-3722,5248.242369150757
TIROS,STARLINK-4194,5430.985785723206
TIROS,STARLINK-4445,3467.5043199532506
TIROS,STARLINK-4433,3449.389493829887
TIROS,STARLINK-4565,3462.1764408911417
TIROS,STARLINK-4585,4364.526911293915
TIROS,STARLINK-4761,3318.7048006437617
TIROS,STARLINK-4771,3452.4131224902835
TIROS,STARLINK-4745,3336.837916812041
TIROS,STARLINK-4770,3656.9062500304817
TIROS,STARLINK-5098,2152.735444533293
TIROS,ONEWEB-0499,4069.199323386511
TIROS,ONEWEB-0500,4009.125958884406
TIROS,STARLINK-5430,3799.5951560507806
TIROS,STARLINK-5295,10173.139242419442
TIROS,STARLINK-5638,10264.508263277945
TIROS,STARLINK-5546,10538.351470497908
TIROS,STARLINK-5498,10541.078015252182
TIROS,STARLINK-5500,10543.574571498148
TIROS,STARLINK-5539,10647.277219900718
TIROS,STARLINK-5611,10637.792361134458
TIROS,STARLINK-5606,9731.844811571842
TIROS,STARLINK-5910,8993.860689644962
TIROS,STARLINK-6066,9683.084147649231
TIROS,STARLINK-6176,10108.94093879482
TIROS,STARLINK-6236,9861.979199763076
TIROS,STARLINK-6239,9735.730929735533
TIROS,STARLINK-5334,8697.541117786473
TIROS,STARLINK-5351,10171.54253835075
TIROS,STARLINK-5329,9971.140698694784
TIROS,STARLINK-5342,9456.819280962925
TIROS,STARLINK-6318,9100.511842432326
TIROS,STARLINK-30365,9670.285470511224
TIROS,STARLINK-30455,4384.670088695979
TIROS,STARLINK-30504,8341.008509453368
TIROS,STARLINK-30993,9030.603049594354
TIROS,STARLINK-31016,5435.233769172553
TIROS,STARLINK-31052,9867.693651320646
TIROS,LEMUR,9710.774984559186
TIROS,STARLINK-31393,9412.068942479122
TIROS,STARLINK-31559,8539.029686035314
TIROS,STARLINK-31608,3386.8324257569247
TIROS,STARLINK-31690,9050.326272946402
TIROS,STARLINK-31799,9960.073681704647
TIROS,STARLINK-31965,9012.668107839312
TIROS,STARLINK-31914,9513.041429944717
TIROS,STARLINK-11102,3192.465123162346
TIROS,STARLINK-32014,2556.4689661466687
TIROS,STARLINK-32121,5011.659363020996
TIROS,STARLINK-11342,2762.1181496264157
TIROS,STARLINK-32333,9906.022367322172
TIROS,STARLINK-32324,8770.23186047363
TIROS,STARLINK-32588,8710.348821683063
TIROS,STARLINK-32637,8272.060670005594
TIROS,STARLINK-32408,8609.585240069919
TIROS,STARLINK-11504,9801.772241727389
TIROS,STARLINK-32716,3394.12162458956
TIROS,STARLINK-11585,9145.340719102967
TIROS,STARLINK-33693,9133.833930223627
TIROS,STARLINK-33849,8785.624516607415
TIROS,STARLINK-33822,9079.343915711552
TIROS,STARLINK-33905,10559.376190694724
EXPLORER,TIROS,3910.150003648244
EXPLORER,ESSA,12494.341552073778
EXPLORER,OPS,10512.761590975188
EXPLORER,COSMOS,4918.639892590031
EXPLORER,COSMOS,2649.961289733028
EXPLORER,COSMOS,4985.287329801096
EXPLORER,COSMOS,6752.170100445367
EXPLORER,COSMOS,6092.562232144463
EXPLORER,COSMOS,6800.907168529185
EXPLORER,COSMOS,11731.496835195823
EXPLORER,COSMOS,8303.6431431181
EXPLORER,SHIYAN,4995.500194865847
EXPLORER,PRISMA,9940.427922482482
EXPLORER,EGYPTSAT,5609.451525786304
EXPLORER,IRIDIUM,4881.501085540013
EXPLORER,SHIYAN,11261.725298107574
EXPLORER,STARLINK-1029,6560.242734862454
EXPLORER,STARLINK-1246,5128.888211624226
EXPLORER,STARLINK-1394,5839.9670952139695
EXPLORER,STARLINK-2093,5263.218550345769
EXPLORER,STARLINK-2111,4143.9041807552
EXPLORER,STARLINK-2147,4078.113700839486
EXPLORER,ONEWEB-0153,4898.3206638589945
EXPLORER,ONEWEB-0161,4895.805128813705
EXPLORER,ONEWEB-0171,5015.420695668559
EXPLORER,STARLINK-2523,6711.234016042796
EXPLORER,STARLINK-2457,6297.995151287597
EXPLORER,STARLINK-2753,6324.689752624262
EXPLORER,ONEWEB-0292,4791.419807613933
EXPLORER,STARLINK-3372,4350.1391552083505
EXPLORER,STARLINK-3389,3631.0620175396484
EXPLORER,STARLINK-3386,2995.7937334698554
EXPLORER,STARLINK-3460,2903.8044505931625
EXPLORER,STARLINK-3722,6356.086232838389
EXPLORER,STARLINK-4194,6684.8761336413
EXPLORER,STARLINK-4445,4203.830844033011
EXPLORER,STARLINK-4433,3439.8834568210923
EXPLORER,STARLINK-4565,4212.866801258752
EXPLORER,STARLINK-4585,5531.736906129381
EXPLORER,STARLINK-4761,3869.3471087450544
EXPLORER,STARLINK-4771,3534.3129383942423
EXPLORER,STARLINK-4745,2966.987738158897
EXPLORER,STARLINK-4770,4154.5110397775525
EXPLORER,STARLINK-5098,4647.654403596847
EXPLORER,ONEWEB-0499,4906.045301478409
EXPLORER,ONEWEB-0500,4989.553722301722
EXPLORER,STARLINK-5430,4802.284455082562
EXPLORER,STARLINK-5295,10994.491911480487
EXPLORER,STARLINK-5638,10992.10155469499
EXPLORER,STARLINK-5546,11162.19388671297
EXPLORER,STARLINK-5498,11377.562927761954
EXPLORER,STARLINK-5500,11173.167021430854
EXPLORER,STARLINK-5539,11582.966658646092
EXPLORER,STARLINK-5611,11607.117415541441
EXPLORER,STARLINK-5606,10953.936609837383
EXPLORER,STARLINK-5910,9428.142819353228
EXPLORER,STARLINK-6066,10385.239400580442
EXPLORER,STARLINK-6176,11264.838397760095
EXPLORER,STARLINK-6236,10741.962774090081
EXPLORER,STARLINK-6239,10299.813203031765
EXPLORER,STARLINK-5334,10864.513559535118
EXPLORER,STARLINK-5351,11336.4516452077
EXPLORER,STARLINK-5329,11256.68804919083
EXPLORER,STARLINK-5342,11040.296183328292
EXPLORER,STARLINK-6318,10258.52968804723
EXPLORER,STARLINK-30365,10442.560644531994
EXPLORER,STARLINK-30455,5239.763840345074
EXPLORER,STARLINK-30504,9838.570111730687
EXPLORER,STARLINK-30993,9239.969384069307
EXPLORER,STARLINK-31016,6726.096520268054
EXPLORER,STARLINK-31052,10650.1943771414
EXPLORER,LEMUR,8600.892823289823
EXPLORER,STARLINK-31393,10283.40043212283
EXPLORER,STARLINK-31559,10486.554935536658
EXPLORER,STARLINK-31608,3761.816517200347
EXPLORER,STARLINK-31690,9491.590431407036
EXPLORER,STARLINK-31799,10990.790755813341
EXPLORER,STARLINK-31965,10209.347966312545
EXPLORER,STARLINK-31914,10174.230696173176
EXPLORER,STARLINK-11102,2480.187555151107
EXPLORER,STARLINK-32014,2660.2759887446655
EXPLORER,STARLINK-32121,5960.596822047852
EXPLORER,STARLINK-11342,4490.314568304039
EXPLORER,STARLINK-32333,10907.451233731528
EXPLORER,STARLINK-32324,9544.842505243801
EXPLORER,STARLINK-32588,10112.581688306345
EXPLORER,STARLINK-32637,9600.30870615929
EXPLORER,STARLINK-32408,8960.947763077567
EXPLORER,STARLINK-11504,11082.501177351756
EXPLORER,STARLINK-32716,3564.5234579175403
EXPLORER,STARLINK-11585,7150.068471151085
EXPLORER,STARLINK-33693,10251.64629111554
EXPLORER,STARLINK-33849,8859.717086621351
EXPLORER,STARLINK-33822,9670.259058097281
EXPLORER,STARLINK-33905,11542.7816451654
ESSA,TIROS,10639.562183353133
ESSA,EXPLORER,12494.341552073778
ESSA,OPS,3394.7107925826112
ESSA,COSMOS,10834.14414506761
ESSA,COSMOS,12144.598297104425
ESSA,COSMOS,13317.892403624928
ESSA,COSMOS,13347.067375838045
ESSA,COSMOS,11183.167988349396
ESSA,COSMOS,8181.158389213879
ESSA,COSMOS,3532.8657844060695
ESSA,COSMOS,5778.861588162867
ESSA,SHIYAN,13687.804796697987
ESSA,PRISMA,5058.303723151932
ESSA,EGYPTSAT,10547.726553299111
ESSA,IRIDIUM,14027.417415867483
ESSA,SHIYAN,6307.006378567157
ESSA,STARLINK-1029,12133.92772347989
ESSA,STARLINK-1246,12682.524599532953
ESSA,STARLINK-1394,12699.974576147644
ESSA,STARLINK-2093,12371.65047114902
ESSA,STARLINK-2111,12362.645967772689
ESSA,STARLINK-2147,12595.063042147414
ESSA,ONEWEB-0153,14486.395556106583
ESSA,ONEWEB-0161,14422.507697581814
ESSA,ONEWEB-0171,14483.999754557872
ESSA,STARLINK-2523,12706.106644809437
ESSA,STARLINK-2457,12568.432125512514
ESSA,STARLINK-2753,12403.20798479961
ESSA,ONEWEB-0292,14499.329654815789
ESSA,STARLINK-3372,13514.307849203828
ESSA,STARLINK-3389,13400.828977207946
ESSA,STARLINK-3386,13410.86564270728
ESSA,STARLINK-3460,13433.551381888159
ESSA,STARLINK-3722,12754.96337703051
ESSA,STARLINK-4194,12766.868282055015
ESSA,STARLINK-4445,13877.578537507516
ESSA,STARLINK-4433,13932.804272562154
ESSA,STARLINK-4565,12466.885161109365
ESSA,STARLINK-4585,12611.510372880719
ESSA,STARLINK-4761,13348.893909979062
ESSA,STARLINK-4771,13451.19004347247
ESSA,STARLINK-4745,13414.105407205152
ESSA,STARLINK-4770,13498.657749700305
ESSA,STARLINK-5098,12556.741664029094
ESSA,ONEWEB-0499,14427.235892736651
ESSA,ONEWEB-0500,14466.616385178457
ESSA,STARLINK-5430,12595.736002895586
ESSA,STARLINK-5295,3712.7196099298517
ESSA,STARLINK-5638,4605.914905700318
ESSA,STARLINK-5546,3861.4579995931367
ESSA,STARLINK-5498,3320.4109231345305
ESSA,STARLINK-5500,3850.9928330482007
ESSA,STARLINK-5539,3243.656890188488
ESSA,STARLINK-5611,3155.500529216912
ESSA,STARLINK-5606,2291.878620155571
ESSA,STARLINK-5910,6647.311963388804
ESSA,STARLINK-6066,5105.205644565718
ESSA,STARLINK-6176,5010.989182510308
ESSA,STARLINK-6236,4972.103499994751
ESSA,STARLINK-6239,5298.621722866503
ESSA,STARLINK-5334,2674.6077408320048
ESSA,STARLINK-5351,4934.096820882519
ESSA,STARLINK-5329,4669.444347003346
ESSA,STARLINK-5342,3759.997584733608
ESSA,STARLINK-6318,4089.519307329934
ESSA,STARLINK-30365,5150.459285086329
ESSA,STARLINK-30455,12597.581695151695
ESSA,STARLINK-30504,2776.6361625058457
ESSA,STARLINK-30993,6860.463626814602
ESSA,STARLINK-31016,12640.611388735864
ESSA,STARLINK-31052,5170.530806907705
ESSA,LEMUR,8228.879719252258
ESSA,STARLINK-31393,4662.145003526286
ESSA,STARLINK-31559,3923.7702234576245
ESSA,STARLINK-31608,13346.233409881193
ESSA,STARLINK-31690,6846.039388960983
ESSA,STARLINK-31799,4915.667702198008
ESSA,STARLINK-31965,3894.2514672162365
ESSA,STARLINK-31914,5016.677714395019
ESSA,STARLINK-11102,13265.505775772614
ESSA,STARLINK-32014,12845.270710875424
ESSA,STARLINK-32121,12503.010834773262
ESSA,STARLINK-11342,12042.374842536017
ESSA,STARLINK-32333,4961.466852946837
ESSA,STARLINK-32324,4174.214818773793
ESSA,STARLINK-32588,2997.5680805393313
ESSA,STARLINK-32637,3214.8396673184047
ESSA,STARLINK-32408,5176.190224585803
ESSA,STARLINK-11504,4644.229036800083
ESSA,STARLINK-32716,13367.118051926705
ESSA,STARLINK-11585,10239.920311960646
ESSA,STARLINK-33693,3860.30205992982
ESSA,STARLINK-33849,6598.832203125448
ESSA,STARLINK-33822,6787.818825182176
ESSA,STARLINK-33905,3136.8231645703304
OPS,TIROS,9672.420895087938
OPS,EXPLORER,10512.761590975188
OPS,ESSA,3394.7107925826112
OPS,COSMOS,9569.091192810889
OPS,COSMOS,10217.25932415709
OPS,COSMOS,12268.053847517444
OPS,COSMOS,13020.557749264552
OPS,COSMOS,8152.756965493514
OPS,COSMOS,5088.870748762558
OPS,COSMOS,1679.1441369977097
OPS,COSMOS,3643.4334498958774
OPS,SHIYAN,12842.98846451093
OPS,PRISMA,1668.8072039352128
OPS,EGYPTSAT,9803.651853382034
OPS,IRIDIUM,13112.555713104468
OPS,SHIYAN,8036.096851828295
OPS,STARLINK-1029,11684.111649437049
OPS,STARLINK-1246,11799.025745279498
OPS,STARLINK-1394,11961.281732166055
OPS,STARLINK-2093,11607.43905497902
OPS,STARLINK-2111,11286.93707625336
OPS,STARLINK-2147,11619.943325810726
OPS,ONEWEB-0153,13514.997712853687
OPS,ONEWEB-0161,13458.30060885158
OPS,ONEWEB-0171,13545.9681299605
OPS,STARLINK-2523,12171.743912842267
OPS,STARLINK-2457,11875.450414774605
OPS,STARLINK-2753,11801.674660664767
OPS,ONEWEB-0292,13495.646979897261
OPS,STARLINK-3372,12216.651293253175
OPS,STARLINK-3389,12013.698606693963
OPS,STARLINK-3386,11918.31282654295
OPS,STARLINK-3460,11930.95330081765
OPS,STARLINK-3722,12102.299149820798
OPS,STARLINK-4194,12205.152979193634
OPS,STARLINK-4445,12814.505434786644
OPS,STARLINK-4433,12656.39068148629
OPS,STARLINK-4565,11426.836943270646
OPS,STARLINK-4585,11849.242787017867
OPS,STARLINK-4761,12032.379174307265
OPS,STARLINK-4771,12032.327964645414
OPS,STARLINK-4745,11918.070672828419
OPS,STARLINK-4770,12171.518837811469
OPS,STARLINK-5098,11711.143480985369
OPS,ONEWEB-0499,13462.470556755114
OPS,ONEWEB-0500,13524.15865677964
OPS,STARLINK-5430,11688.674144538005
OPS,STARLINK-5295,1219.9147155195205
OPS,STARLINK-5638,2383.0926597120874
OPS,STARLINK-5546,1674.5698239012331
OPS,STARLINK-5498,1796.550491784119
OPS,STARLINK-5500,1695.886198998802
OPS,STARLINK-5539,2344.433996510768
OPS,STARLINK-5611,2358.6546502600995
OPS,STARLINK-5606,1299.382744329379
OPS,STARLINK-5910,4363.747590607502
OPS,STARLINK-6066,4063.357063682981
OPS,STARLINK-6176,5068.086101526633
OPS,STARLINK-6236,4363.137492015773
OPS,STARLINK-6239,4013.2523873318078
OPS,STARLINK-5334,4286.8154510728245
OPS,STARLINK-5351,5022.622850217646
OPS,STARLINK-5329,4919.86653427568
OPS,STARLINK-5342,4427.475606354678
OPS,STARLINK-6318,3627.6279021024216
OPS,STARLINK-30365,4288.891993377768
OPS,STARLINK-30455,11720.336580541873
OPS,STARLINK-30504,1970.460207505681
OPS,STARLINK-30993,4324.139266415537
OPS,STARLINK-31016,12096.680534017674
OPS,STARLINK-31052,4396.48152564358
OPS,LEMUR,4996.3412031838425
OPS,STARLINK-31393,3779.0233352651885
OPS,STARLINK-31559,4058.645508870377
OPS,STARLINK-31608,11983.149933680594
OPS,STARLINK-31690,4634.23218285083
OPS,STARLINK-31799,4659.149203660166
OPS,STARLINK-31965,3433.8857482280846
OPS,STARLINK-31914,3776.5678079255445
OPS,STARLINK-11102,11719.794295664477
OPS,STARLINK-32014,11507.709044637095
OPS,STARLINK-32121,11747.245631967835
OPS,STARLINK-11342,11191.846140915379
OPS,STARLINK-32333,4633.074248696516
OPS,STARLINK-32324,2288.624620079118
OPS,STARLINK-32588,2653.5657890167927
OPS,STARLINK-32637,1752.2901907131325
OPS,STARLINK-32408,2764.231465179788
OPS,STARLINK-11504,4825.658129706317
OPS,STARLINK-32716,11960.097149587793
OPS,STARLINK-11585,7142.220507613438
OPS,STARLINK-33693,3221.298192246829
OPS,STARLINK-33849,3762.6686189466877
OPS,STARLINK-33822,4778.044550756621
OPS,STARLINK-33905,2357.2095691576346
COSMOS,TIROS,4860.169610860033
COSMOS,EXPLORER,4918.639892590031
COSMOS,ESSA,10834.14414506761
COSMOS,OPS,9569.091192810889
COSMOS,SHIYAN,6608.945914162841
COSMOS,PRISMA,9498.114240891038
COSMOS,EGYPTSAT,7461.824677860667
COSMOS,IRIDIUM,5358.490244449776
COSMOS,SHIYAN,10161.859208480442
COSMOS,STARLINK-1029,3447.1065337129025
COSMOS,STARLINK-1246,2971.0031608681393
COSMOS,STARLINK-1394,3078.160466421749
COSMOS,STARLINK-2093,3168.0315219490167
COSMOS,STARLINK-2111,2776.337005226796
COSMOS,STARLINK-2147,5864.877733224928
COSMOS,ONEWEB-0153,6326.378796678395
COSMOS,ONEWEB-0161,6459.441835464069
COSMOS,ONEWEB-0171,6213.787198831803
COSMOS,STARLINK-2523,3480.317028061358
COSMOS,STARLINK-2457,2896.0445503344076
COSMOS,STARLINK-2753,3106.3946076501134
COSMOS,ONEWEB-0292,6328.842967184264
COSMOS,STARLINK-3372,7881.639330417714
COSMOS,STARLINK-3389,7221.720642306869
COSMOS,STARLINK-3386,6732.508460371324
COSMOS,STARLINK-3460,6638.486728941015
COSMOS,STARLINK-3722,3201.368112817524
COSMOS,STARLINK-4194,3435.8907390655845
COSMOS,STARLINK-4445,5369.894349526337
COSMOS,STARLINK-4433,5588.64264240497
COSMOS,STARLINK-4565,3004.149506248739
COSMOS,STARLINK-4585,3130.3493242886498
COSMOS,STARLINK-4761,7302.41239249781
COSMOS,STARLINK-4771,7199.315504589325
