Satellite 1,Satellite 2,Distance
TIROS,EXPLORER,6461.883397142814
TIROS,LANDSAT,7671.4404265788635
TIROS,COSMOS,8668.12919921342
TIROS,COSMOS,9052.355348185463
TIROS,METEOR,7185.279795623652
TIROS,PICOSAT,8216.211937687676
TIROS,LIBERTAD,5886.143196472272
TIROS,STERKH,3958.7034299184356
TIROS,STERKH,8105.904278239049
TIROS,GLOBALSTAR,6268.799159850502
TIROS,GCOM,5709.684680491822
TIROS,UKUBE,6570.793193094292
TIROS,IRIDIUM,5823.950961550561
TIROS,SKYSAT,3789.1019245273724
TIROS,YAOGAN-30,6745.679142899951
TIROS,IRIDIUM,5928.089004379797
TIROS,STARLINK-1142,3781.518263034221
TIROS,STARLINK-1368,5466.136769237667
TIROS,STARLINK-1457,4872.990201304913
TIROS,STARLINK-1713,4947.857078808078
TIROS,STARLINK-1973,4938.573874385599
TIROS,STARLINK-2083,5635.238976485386
TIROS,STARLINK-2388,5772.223288704682
TIROS,ONEWEB-0148,6035.11648823566
TIROS,STARLINK-2440,5506.961425731197
TIROS,STARLINK-2518,5643.430224078797
TIROS,STARLINK-2666,5556.865047606252
TIROS,STARLINK-2746,5583.977174340093
TIROS,ONEWEB-0257,6394.47515261479
TIROS,STARLINK-3073,8089.602023006724
TIROS,ONEWEB-0350,6351.9411017309685
TIROS,STARLINK-3502,6086.744392732775
TIROS,STARLINK-3458,5769.243163953241
TIROS,STARLINK-3782,5324.306634243811
TIROS,STARLINK-3783,5575.468069482924
TIROS,STARLINK-3755,5456.747398699606
TIROS,STARLINK-3826,5256.6608794374115
TIROS,STARLINK-4109,5577.735713420123
TIROS,STARLINK-4434,5540.583376388221
TIROS,YAOGAN-35,4739.925886662567
TIROS,STARLINK-4751,6016.747373623703
TIROS,STARLINK-5054,5216.780911977759
TIROS,STARLINK-5127,5281.47177775515
TIROS,ONEWEB-0513,6053.4658152069405
TIROS,STARLINK-5296,8313.604516922227
TIROS,STARLINK-5027,6621.244163740051
TIROS,STARLINK-5892,8160.485413486812
TIROS,STARLINK-5924,8153.000938317456
TIROS,STARLINK-30049,6632.87460148138
TIROS,STARLINK-6273,7369.557944720725
TIROS,STARLINK-6271,7220.596479567206
TIROS,STARLINK-6328,7126.468152228734
TIROS,STARLINK-6337,7624.187819367752
TIROS,STARLINK-6199,7422.1000099972825
TIROS,STARLINK-6295,7243.867032915487
TIROS,STARLINK-6190,8054.177830700231
