Satellite 1,Satellite 2,Distance
COSMOS,JAWSAT,7350.4602330350235
COSMOS,DUMSAT,9957.488795755371
COSMOS,SMDC,10870.327102939547
COSMOS,DOVE,11118.855087970054
COSMOS,CINEMA,9564.918033419404
COSMOS,CHUBUSAT,9240.738184031974
COSMOS,IRIDIUM,8835.956065587605
COSMOS,STARLINK-1231,6207.861060963043
COSMOS,ONEWEB-0085,9065.79204443627
COSMOS,STARLINK-1400,5444.523760498703
COSMOS,STARLINK-1407,8413.146941634099
COSMOS,STARLINK-2086,7094.25809946245
COSMOS,STARLINK-2099,5549.918673864704
COSMOS,STARLINK-2103,6169.139783069873
COSMOS,STARLINK-3675,6059.8418833282
COSMOS,STARLINK-3656,5281.783052066317
COSMOS,STARLINK-3811,6921.913013033257
COSMOS,STARLINK-4080,5686.941551441587
COSMOS,STARLINK-4205,5750.060121773426
COSMOS,YAOGAN-35,6562.901479327418
COSMOS,STARLINK-6083,7122.764822563609
COSMOS,STARLINK-30117,8583.40644271626
COSMOS,STARLINK-30368,7458.936877153486
COSMOS,STARLINK-30757,9351.546979087161
COSMOS,STARLINK-31074,7497.925557682731
COSMOS,STARLINK-31128,8048.447341706022
COSMOS,STARLINK-31125,7676.022069879823
COSMOS,STARLINK-31298,7973.251594348686
COSMOS,STARLINK-31289,7235.340919269163
COSMOS,STARLINK-31480,8473.046346918167
COSMOS,STARLINK-31907,7924.9086110008375
COSMOS,STARLINK-11135,5329.315756417605
COSMOS,STARLINK-11137,6022.721328614369
COSMOS,STARLINK-32273,5840.564845482966
COSMOS,FLOCK,9552.125189637032
COSMOS,STARLINK-11573,8220.447345178489
COSMOS,STARLINK-32934,8703.564240773407
COSMOS,STARLINK-33611,8338.836772350078
COSMOS,STARLINK-33694,7492.037110297308
COSMOS,STARLINK-33692,7491.598302388731
COSMOS,STARLINK-33655,7692.753487045901
COSMOS,STARLINK-33819,8324.038486142845
COSMOS,JAWSAT,3661.9367059169986
COSMOS,DUMSAT,9366.081055365601
COSMOS,SMDC,9323.897656039046
COSMOS,DOVE,9328.52409675476
COSMOS,CINEMA,9018.78491799964
COSMOS,CHUBUSAT,5888.83682874386
COSMOS,IRIDIUM,5566.463847622991
COSMOS,STARLINK-1231,3485.5707440957444
COSMOS,ONEWEB-0085,5954.616529470783
COSMOS,STARLINK-1400,3930.9432840519703
COSMOS,STARLINK-1407,4980.863338703913
COSMOS,STARLINK-2086,4184.980056122816
COSMOS,STARLINK-2099,3168.1152206868087
COSMOS,STARLINK-2103,3367.8617096342296
COSMOS,STARLINK-3675,3909.3578586694466
COSMOS,STARLINK-3656,3411.489745217132
COSMOS,STARLINK-3811,3465.4077818383735
COSMOS,STARLINK-4080,4015.505163655267
COSMOS,STARLINK-4205,2899.8356892412703
COSMOS,YAOGAN-35,7271.537526950927
COSMOS,STARLINK-6083,7664.148348328583
COSMOS,STARLINK-30117,7491.543477627357
COSMOS,STARLINK-30368,7896.791415952991
COSMOS,STARLINK-30757,8272.274361454767
COSMOS,STARLINK-31074,7754.425886468665
COSMOS,STARLINK-31128,7615.800032377646
COSMOS,STARLINK-31125,7634.661298537517
COSMOS,STARLINK-31298,7369.517344874608
COSMOS,STARLINK-31289,7600.810582218999
COSMOS,STARLINK-31480,7509.169396425299
COSMOS,STARLINK-31907,7527.358114025829
COSMOS,STARLINK-11135,3084.8000074941183
COSMOS,STARLINK-11137,4179.877756982941
COSMOS,STARLINK-32273,2869.714969918543
COSMOS,FLOCK,5926.348456613343
COSMOS,STARLINK-11573,7579.764239517199
COSMOS,STARLINK-32934,7768.6992164379435
COSMOS,STARLINK-33611,7426.463024832659
COSMOS,STARLINK-33694,7619.006386198983
COSMOS,STARLINK-33692,7648.804299303141
COSMOS,STARLINK-33655,7617.40092581929
COSMOS,STARLINK-33819,4484.684555864128
COSMOS,JAWSAT,6584.298392153618
COSMOS,DUMSAT,13667.057886170598
COSMOS,SMDC,12751.401388108092
COSMOS,DOVE,12630.33094409039
COSMOS,CINEMA,13935.792248613086
COSMOS,CHUBUSAT,8045.736791738723
