Satellite 1,Satellite 2,Distance
TIROS,OPS,12388.617629244858
TIROS,COSMOS,5915.618452924961
TIROS,TUBSAT,11837.932641310845
TIROS,TEMISAT,7060.440420137093
TIROS,COSMOS,2302.5800421416207
TIROS,STARLINK-1807,6795.751207901256
TIROS,ONEWEB-0234,3767.4924928509586
TIROS,ONEWEB-0585,4932.105343317544
TIROS,ONEWEB-0593,5070.223485751539
TIROS,ONEWEB-0611,5218.069773798862
TIROS,STARLINK-6053,11718.05381060755
TIROS,ONEWEB-0681,5602.856247233984
TIROS,FALCONSAT-10,4007.5909871554077
TIROS,STARLINK-31232,5134.764970647455
TIROS,STARLINK-11248,6515.638683959814
OPS,TIROS,12388.617629244858
OPS,COSMOS,13511.407176030161
OPS,TUBSAT,1400.7601849727243
OPS,TEMISAT,12744.607066018627
OPS,COSMOS,13772.516334464355
OPS,STARLINK-1807,12943.053406527244
OPS,ONEWEB-0234,14222.082843900327
OPS,ONEWEB-0585,14609.078035018869
OPS,ONEWEB-0593,14596.671583263062
OPS,ONEWEB-0611,14566.266545485902
OPS,STARLINK-6053,1270.311301415643
OPS,ONEWEB-0681,13982.373239331619
OPS,FALCONSAT-10,11075.466263511924
OPS,STARLINK-31232,12266.410757136375
OPS,STARLINK-11248,12702.217539682575
COSMOS,TIROS,5915.618452924961
COSMOS,OPS,13511.407176030161
COSMOS,TUBSAT,13334.887530241998
COSMOS,TEMISAT,2214.898588998125
COSMOS,STARLINK-1807,4087.7609412347056
COSMOS,ONEWEB-0234,3154.611498312405
COSMOS,ONEWEB-0585,3672.3477332667803
COSMOS,ONEWEB-0593,3677.591450124996
COSMOS,ONEWEB-0611,3741.856820329142
COSMOS,STARLINK-6053,13262.797736971514
COSMOS,ONEWEB-0681,5174.380862657328
COSMOS,FALCONSAT-10,6288.177676333304
COSMOS,STARLINK-31232,4420.463428167674
COSMOS,STARLINK-11248,4064.1753919112434
TUBSAT,TIROS,11837.932641310845
TUBSAT,OPS,1400.7601849727243
TUBSAT,COSMOS,13334.887530241998
TUBSAT,TEMISAT,12794.240595883106
TUBSAT,COSMOS,13398.794641738366
TUBSAT,STARLINK-1807,13097.25117014345
TUBSAT,ONEWEB-0234,13923.675065212954
TUBSAT,ONEWEB-0585,14465.99648750303
TUBSAT,ONEWEB-0593,14471.243950290584
TUBSAT,ONEWEB-0611,14462.695040244154
TUBSAT,STARLINK-6053,1752.2824147733297
TUBSAT,ONEWEB-0681,13987.909416553148
TUBSAT,FALCONSAT-10,10285.840822685434
TUBSAT,STARLINK-31232,12286.05997658662
TUBSAT,STARLINK-11248,12838.94381271064
TEMISAT,TIROS,7060.440420137093
TEMISAT,OPS,12744.607066018627
TEMISAT,COSMOS,2214.898588998125
TEMISAT,TUBSAT,12794.240595883106
TEMISAT,COSMOS,6011.915547300626
TEMISAT,STARLINK-1807,2749.7212558670285
TEMISAT,ONEWEB-0234,4545.150351956625
TEMISAT,ONEWEB-0585,4282.469476986677
TEMISAT,ONEWEB-0593,4196.518617724745
TEMISAT,ONEWEB-0611,4135.00886295129
TEMISAT,STARLINK-6053,12524.940258208073
TEMISAT,ONEWEB-0681,4904.069331137593
TEMISAT,FALCONSAT-10,7615.824175494486
TEMISAT,STARLINK-31232,3838.762757856199
TEMISAT,STARLINK-11248,2807.8430961959457
COSMOS,TIROS,2302.5800421416207
COSMOS,OPS,13772.516334464355
COSMOS,TUBSAT,13398.794641738366
COSMOS,TEMISAT,6011.915547300626
COSMOS,STARLINK-1807,5390.107767566288
COSMOS,ONEWEB-0234,1985.3516298366171
COSMOS,ONEWEB-0585,2827.035058077332
COSMOS,ONEWEB-0593,2982.0754115992218
COSMOS,ONEWEB-0611,3148.673019508201
COSMOS,STARLINK-6053,13119.151104361628
COSMOS,ONEWEB-0681,3790.861673357462
COSMOS,FALCONSAT-10,5692.639363165515
COSMOS,STARLINK-31232,3914.0910183684164
COSMOS,STARLINK-11248,5168.473571829517
STARLINK-1807,TIROS,6795.751207901256
STARLINK-1807,OPS,12943.053406527244
STARLINK-1807,COSMOS,4087.7609412347056
STARLINK-1807,TUBSAT,13097.25117014345
STARLINK-1807,TEMISAT,2749.7212558670285
STARLINK-1807,COSMOS,5390.107767566288
STARLINK-1807,ONEWEB-0234,4507.20302541734
STARLINK-1807,ONEWEB-0585,3369.0770124032715
STARLINK-1807,ONEWEB-0593,3214.53443968384
STARLINK-1807,ONEWEB-0611,3030.782674843273
STARLINK-1807,STARLINK-6053,12492.822699423152
STARLINK-1807,ONEWEB-0681,2721.3301334393122
STARLINK-1807,FALCONSAT-10,8625.4061551441
STARLINK-1807,STARLINK-31232,1944.4661452492012
STARLINK-1807,STARLINK-11248,335.71142338508844
ONEWEB-0234,TIROS,3767.4924928509586
ONEWEB-0234,OPS,14222.082843900327
ONEWEB-0234,COSMOS,3154.611498312405
ONEWEB-0234,TUBSAT,13923.675065212954
ONEWEB-0234,TEMISAT,4545.150351956625
ONEWEB-0234,COSMOS,1985.3516298366171
ONEWEB-0234,STARLINK-1807,4507.20302541734
ONEWEB-0234,ONEWEB-0585,1771.4787736952676
ONEWEB-0234,ONEWEB-0593,1930.8522926586197
ONEWEB-0234,ONEWEB-0611,2143.9061266249446
ONEWEB-0234,STARLINK-6053,13712.48218656247
ONEWEB-0234,ONEWEB-0681,3664.4251398274414
ONEWEB-0234,FALCONSAT-10,5981.712511824767
ONEWEB-0234,STARLINK-31232,3703.7369653881383
ONEWEB-0234,STARLINK-11248,4370.632569793826
ONEWEB-0585,TIROS,4932.105343317544
ONEWEB-0585,OPS,14609.078035018869
ONEWEB-0585,COSMOS,3672.3477332667803
ONEWEB-0585,TUBSAT,14465.99648750303
ONEWEB-0585,TEMISAT,4282.469476986677
ONEWEB-0585,COSMOS,2827.035058077332
ONEWEB-0585,STARLINK-1807,3369.0770124032715
ONEWEB-0585,ONEWEB-0234,1771.4787736952676
ONEWEB-0585,ONEWEB-0593,184.89701272813855
ONEWEB-0585,ONEWEB-0611,412.45747053702706
ONEWEB-0585,STARLINK-6053,14058.014128926321
ONEWEB-0585,ONEWEB-0681,2185.594835868918
ONEWEB-0585,FALCONSAT-10,7519.7874033076105
ONEWEB-0585,STARLINK-31232,2833.1630528374035
ONEWEB-0585,STARLINK-11248,3292.2666868098227
ONEWEB-0593,TIROS,5070.223485751539
ONEWEB-0593,OPS,14596.671583263062
ONEWEB-0593,COSMOS,3677.591450124996
ONEWEB-0593,TUBSAT,14471.243950290584
ONEWEB-0593,TEMISAT,4196.518617724745
ONEWEB-0593,COSMOS,2982.0754115992218
ONEWEB-0593,STARLINK-1807,3214.53443968384
ONEWEB-0593,ONEWEB-0234,1930.8522926586197
ONEWEB-0593,ONEWEB-0585,184.89701272813855
ONEWEB-0593,ONEWEB-0611,231.29306250251125
ONEWEB-0593,STARLINK-6053,14048.28892230685
ONEWEB-0593,ONEWEB-0681,2076.444372917273
ONEWEB-0593,FALCONSAT-10,7638.962111520691
ONEWEB-0593,STARLINK-31232,2745.364089053365
ONEWEB-0593,STARLINK-11248,3146.7766055431457
ONEWEB-0611,TIROS,5218.069773798862
ONEWEB-0611,OPS,14566.266545485902
ONEWEB-0611,COSMOS,3741.856820329142
ONEWEB-0611,TUBSAT,14462.695040244154
ONEWEB-0611,TEMISAT,4135.00886295129
ONEWEB-0611,COSMOS,3148.673019508201
ONEWEB-0611,STARLINK-1807,3030.782674843273
ONEWEB-0611,ONEWEB-0234,2143.9061266249446
ONEWEB-0611,ONEWEB-0585,412.45747053702706
ONEWEB-0611,ONEWEB-0593,231.29306250251125
ONEWEB-0611,STARLINK-6053,14016.667463770329
ONEWEB-0611,ONEWEB-0681,1906.4698901883683
ONEWEB-0611,FALCONSAT-10,7789.024739150428
ONEWEB-0611,STARLINK-31232,2620.012132352166
ONEWEB-0611,STARLINK-11248,2971.0258813943724
STARLINK-6053,TIROS,11718.05381060755
STARLINK-6053,OPS,1270.311301415643
STARLINK-6053,COSMOS,13262.797736971514
STARLINK-6053,TUBSAT,1752.2824147733297
STARLINK-6053,TEMISAT,12524.940258208073
STARLINK-6053,COSMOS,13119.151104361628
STARLINK-6053,STARLINK-1807,12492.822699423152
STARLINK-6053,ONEWEB-0234,13712.48218656247
STARLINK-6053,ONEWEB-0585,14058.014128926321
STARLINK-6053,ONEWEB-0593,14048.28892230685
STARLINK-6053,ONEWEB-0611,14016.667463770329
STARLINK-6053,ONEWEB-0681,13328.954208119152
STARLINK-6053,FALCONSAT-10,10743.770333402228
STARLINK-6053,STARLINK-31232,11677.716089484582
STARLINK-6053,STARLINK-11248,12235.779603779467
ONEWEB-0681,TIROS,5602.856247233984
ONEWEB-0681,OPS,13982.373239331619
ONEWEB-0681,COSMOS,5174.380862657328
ONEWEB-0681,TUBSAT,13987.909416553148
ONEWEB-0681,TEMISAT,4904.069331137593
ONEWEB-0681,COSMOS,3790.861673357462
ONEWEB-0681,STARLINK-1807,2721.3301334393122
ONEWEB-0681,ONEWEB-0234,3664.4251398274414
ONEWEB-0681,ONEWEB-0585,2185.594835868918
ONEWEB-0681,ONEWEB-0593,2076.444372917273
ONEWEB-0681,ONEWEB-0611,1906.4698901883683
ONEWEB-0681,STARLINK-6053,13328.954208119152
ONEWEB-0681,FALCONSAT-10,8572.565662881869
ONEWEB-0681,STARLINK-31232,1843.9941084036395
ONEWEB-0681,STARLINK-11248,2596.313737890425
FALCONSAT-10,TIROS,4007.5909871554077
FALCONSAT-10,OPS,11075.466263511924
FALCONSAT-10,COSMOS,6288.177676333304
FALCONSAT-10,TUBSAT,10285.840822685434
FALCONSAT-10,TEMISAT,7615.824175494486
FALCONSAT-10,COSMOS,5692.639363165515
FALCONSAT-10,STARLINK-1807,8625.4061551441
FALCONSAT-10,ONEWEB-0234,5981.712511824767
FALCONSAT-10,ONEWEB-0585,7519.7874033076105
FALCONSAT-10,ONEWEB-0593,7638.962111520691
FALCONSAT-10,ONEWEB-0611,7789.024739150428
FALCONSAT-10,STARLINK-6053,10743.770333402228
FALCONSAT-10,ONEWEB-0681,8572.565662881869
FALCONSAT-10,STARLINK-31232,7490.591146780123
FALCONSAT-10,STARLINK-11248,8373.825420680743
STARLINK-31232,TIROS,5134.764970647455
STARLINK-31232,OPS,12266.410757136375
STARLINK-31232,COSMOS,4420.463428167674
STARLINK-31232,TUBSAT,12286.05997658662
STARLINK-31232,TEMISAT,3838.762757856199
STARLINK-31232,COSMOS,3914.0910183684164
STARLINK-31232,STARLINK-1807,1944.4661452492012
STARLINK-31232,ONEWEB-0234,3703.7369653881383
STARLINK-31232,ONEWEB-0585,2833.1630528374035
STARLINK-31232,ONEWEB-0593,2745.364089053365
STARLINK-31232,ONEWEB-0611,2620.012132352166
STARLINK-31232,STARLINK-6053,11677.716089484582
STARLINK-31232,ONEWEB-0681,1843.9941084036395
STARLINK-31232,FALCONSAT-10,7490.591146780123
STARLINK-31232,STARLINK-11248,1638.7164439278758
STARLINK-11248,TIROS,6515.638683959814
STARLINK-11248,OPS,12702.217539682575
STARLINK-11248,COSMOS,4064.1753919112434
STARLINK-11248,TUBSAT,12838.94381271064
STARLINK-11248,TEMISAT,2807.8430961959457
STARLINK-11248,COSMOS,5168.473571829517
STARLINK-11248,STARLINK-1807,335.71142338508844
STARLINK-11248,ONEWEB-0234,4370.632569793826
STARLINK-11248,ONEWEB-0585,3292.2666868098227
STARLINK-11248,ONEWEB-0593,3146.7766055431457
STARLINK-11248,ONEWEB-0611,2971.0258813943724
STARLINK-11248,STARLINK-6053,12235.779603779467
STARLINK-11248,ONEWEB-0681,2596.313737890425
STARLINK-11248,FALCONSAT-10,8373.825420680743
STARLINK-11248,STARLINK-31232,1638.7164439278758
