Satellite 1,Satellite 2,Distance
COSMOS,METEOR,13625.294365411197
COSMOS,ONEWEB-0212,13982.899281216893
COSMOS,STARLINK-3262,12694.260205518145
COSMOS,STARLINK-4048,11563.458371554632
COSMOS,STARLINK-4627,12828.031745059152
COSMOS,STARLINK-5321,3056.9815824393645
COSMOS,STARLINK-30269,6066.310805017392
COSMOS,HERMES-5,4957.454844637062
METEOR,COSMOS,13625.294365411197
METEOR,COSMOS,2563.6051721887734
METEOR,ONEWEB-0212,1426.7174058334972
METEOR,STARLINK-3262,2038.4307356937522
METEOR,STARLINK-4048,2435.2270818487327
METEOR,STARLINK-4627,2346.5379830021625
METEOR,STARLINK-5321,13480.771368674064
METEOR,STARLINK-30269,12013.910795852604
METEOR,HERMES-5,8956.14063859243
COSMOS,METEOR,2563.6051721887734
COSMOS,ONEWEB-0212,3976.467653152644
COSMOS,STARLINK-3262,1340.5183123463123
COSMOS,STARLINK-4048,3955.3620602011847
COSMOS,STARLINK-4627,786.2527791696942
COSMOS,STARLINK-5321,12730.953594440958
COSMOS,STARLINK-30269,10672.570540561115
COSMOS,HERMES-5,8640.627196433623
ONEWEB-0212,COSMOS,13982.899281216893
ONEWEB-0212,METEOR,1426.7174058334972
ONEWEB-0212,COSMOS,3976.467653152644
ONEWEB-0212,STARLINK-3262,3383.669585522586
ONEWEB-0212,STARLINK-4048,2432.190485767404
ONEWEB-0212,STARLINK-4627,3748.748714158279
ONEWEB-0212,STARLINK-5321,14089.171070929186
ONEWEB-0212,STARLINK-30269,12929.35846371742
ONEWEB-0212,HERMES-5,9371.72832647585
STARLINK-3262,COSMOS,12694.260205518145
STARLINK-3262,METEOR,2038.4307356937522
STARLINK-3262,COSMOS,1340.5183123463123
STARLINK-3262,ONEWEB-0212,3383.669585522586
STARLINK-3262,STARLINK-4048,3123.2520839462986
STARLINK-3262,STARLINK-4627,604.0892107136132
STARLINK-3262,STARLINK-5321,12166.705047909638
STARLINK-3262,STARLINK-30269,10357.215099572544
STARLINK-3262,HERMES-5,8158.8412705086175
STARLINK-4048,COSMOS,11563.458371554632
STARLINK-4048,METEOR,2435.2270818487327
STARLINK-4048,COSMOS,3955.3620602011847
STARLINK-4048,ONEWEB-0212,2432.190485767404
STARLINK-4048,STARLINK-3262,3123.2520839462986
STARLINK-4048,STARLINK-4627,3513.1177942209947
STARLINK-4048,STARLINK-5321,11772.546293563057
STARLINK-4048,STARLINK-30269,10831.323859181786
STARLINK-4048,HERMES-5,6953.112325628081
STARLINK-4627,COSMOS,12828.031745059152
STARLINK-4627,METEOR,2346.5379830021625
STARLINK-4627,COSMOS,786.2527791696942
STARLINK-4627,ONEWEB-0212,3748.748714158279
STARLINK-4627,STARLINK-3262,604.0892107136132
STARLINK-4627,STARLINK-4048,3513.1177942209947
STARLINK-4627,STARLINK-5321,12255.102976407887
STARLINK-4627,STARLINK-30269,10307.908131182596
STARLINK-4627,HERMES-5,8251.224702676232
STARLINK-5321,COSMOS,3056.9815824393645
STARLINK-5321,METEOR,13480.771368674064
STARLINK-5321,COSMOS,12730.953594440958
STARLINK-5321,ONEWEB-0212,14089.171070929186
STARLINK-5321,STARLINK-3262,12166.705047909638
STARLINK-5321,STARLINK-4048,11772.546293563057
STARLINK-5321,STARLINK-4627,12255.102976407887
STARLINK-5321,STARLINK-30269,3597.8423195803925
STARLINK-5321,HERMES-5,5710.419988298801
STARLINK-30269,COSMOS,6066.310805017392
STARLINK-30269,METEOR,12013.910795852604
STARLINK-30269,COSMOS,10672.570540561115
STARLINK-30269,ONEWEB-0212,12929.35846371742
STARLINK-30269,STARLINK-3262,10357.215099572544
STARLINK-30269,STARLINK-4048,10831.323859181786
STARLINK-30269,STARLINK-4627,10307.908131182596
STARLINK-30269,STARLINK-5321,3597.8423195803925
STARLINK-30269,HERMES-5,5932.151818444831
HERMES-5,COSMOS,4957.454844637062
HERMES-5,METEOR,8956.14063859243
HERMES-5,COSMOS,8640.627196433623
HERMES-5,ONEWEB-0212,9371.72832647585
HERMES-5,STARLINK-3262,8158.8412705086175
HERMES-5,STARLINK-4048,6953.112325628081
HERMES-5,STARLINK-4627,8251.224702676232
HERMES-5,STARLINK-5321,5710.419988298801
HERMES-5,STARLINK-30269,5932.151818444831
